time,solar_generation_kw,mall_demand_kw,chargers_demand_kw,total_demand_kw,net_power_kw,power_in_kw,power_out_kw,soc_kwh,soc_pct
2024-02-15 19:00:00,0.0,2034,281.20000000000005,2315.2,-2315.2,0.0,0.0,170.0,10.0
2024-02-15 20:00:00,0.0,1992,281.20000000000005,2273.2,-2273.2,0.0,0.0,170.0,10.0
2024-02-15 21:00:00,0.0,1796,281.20000000000005,2077.2,-2077.2,0.0,0.0,170.0,10.0
2024-02-15 22:00:00,0.0,1109,281.20000000000005,1390.2,-1390.2,0.0,0.0,170.0,10.0
2024-02-15 23:00:00,0.0,733,281.20000000000005,1014.2,-1014.2,0.0,0.0,170.0,10.0
2024-02-16 00:00:00,0.0,649,281.20000000000005,930.2,-930.2,0.0,0.0,170.0,10.0
2024-02-16 01:00:00,0.0,635,281.20000000000005,916.2,-916.2,0.0,0.0,170.0,10.0
2024-02-16 02:00:00,0.0,629,281.20000000000005,910.2,-910.2,0.0,0.0,170.0,10.0
2024-02-16 03:00:00,0.0,615,281.20000000000005,896.2,-896.2,0.0,0.0,170.0,10.0
2024-02-16 04:00:00,0.0,601,281.20000000000005,882.2,-882.2,0.0,0.0,170.0,10.0
2024-02-16 05:00:00,0.0,597,281.20000000000005,878.2,-878.2,0.0,0.0,170.0,10.0
2024-02-16 06:00:00,0.0,656,281.20000000000005,937.2,-937.2,0.0,0.0,170.0,10.0
2024-02-16 07:00:00,498.83000873794447,715,281.20000000000005,996.2,-497.3699912620556,0.0,0.0,170.0,10.0
2024-02-16 08:00:00,1368.4538055801415,917,281.20000000000005,1198.2,170.2538055801415,170.2538055801415,0.0,331.7411153011344,19.514183253007907
2024-02-16 09:00:00,2098.028244115281,1267,281.20000000000005,1548.2,549.8282441152808,342.0,0.0,656.6411153011344,38.62594795889026
2024-02-16 10:00:00,2638.588340934898,1771,281.20000000000005,2052.2,586.3883409348982,342.0,0.0,981.5411153011344,57.73771266477261
2024-02-16 11:00:00,2886.689477778584,2144,281.20000000000005,2425.2,461.4894777785844,342.0,0.0,1306.4411153011342,76.84947737065495
