pv_kwh,ev_kwh,mall_kwh,load_kwh,pv_to_ev_kwh,pv_to_bess_kwh,pv_to_mall_kwh,grid_export_kwh,bess_action_kwh,bess_mode,bess_to_ev_kwh,bess_to_mall_kwh,grid_import_ev_kwh,grid_import_mall_kwh,grid_import_kwh,soc_percent,soc_kwh,co2_avoided_indirect_kg,tariff_period,tariff_rate_soles_kwh,cost_if_grid_import_soles,cost_avoided_by_bess_soles,cost_savings_hp_soles,cost_savings_hfp_soles,tariff_index_hp_hfp,ev_demand_after_bess_kwh,mall_demand_after_bess_kwh,load_after_bess_kwh,bess_energy_stored_hourly_kwh,bess_energy_delivered_hourly_kwh,bess_balance_error_hourly_kwh,bess_balance_error_hourly_percent,bess_validation_status_hourly,mall_grid_import_kwh,pv_generation_kw,mall_demand_kw,ev_demand_kw,total_demand_kw,bess_charge_kw,bess_discharge_kw,ev_demand_after_bess_kw,mall_demand_after_bess_kw,demand_from_grid_kw,grid_export_kw,pv_to_ev_kw,pv_to_bess_kw,pv_to_mall_kw,pv_to_demand_kw,bess_soc_percent,bess_soc_kwh,pv_to_grid_kw,ev_from_grid_kw,mall_from_grid_kw,co2_avoided_kg,co2_from_grid_kg,co2_from_grid_ev_kg,co2_from_grid_mall_kg
0.0,151.40399999999988,1054,1205.404,0.0,0.0,0.0,0.0,155.33722641910057,discharge,151.40399999999988,0.0,0.0,1054.0,1054.0,76.46405660316657,1529.2811320633316,68.44974839999995,HP,0.45,542.4318000000001,68.13179999999996,25.738679999999977,0.0,1.607142857142857,0.0,1054.0,1054.0,0.0,151.40399999999988,151.40399999999988,15140.399999999989,CRITICAL,1054.0,0.0,1054,151.40399999999988,1205.404,0.0,151.40399999999988,0.0,1054.0,1054.0,0.0,0.0,0.0,0.0,0.0,76.46405660316657,1529.2811320633316,0.0,0.0,1054.0,68.44974839999995,476.5134,0.0,476.5134
0.0,0.0,1009,1009.0,0.0,0.0,0.0,0.0,0.0,idle,0.0,0.0,0.0,1009.0,1009.0,76.46405660316657,1529.2811320633316,0.0,HP,0.45,454.05,0.0,0.0,0.0,1.607142857142857,0.0,1009.0,1009.0,0.0,0.0,0.0,0.0,OK,1009.0,0.0,1009,0.0,1009.0,0.0,0.0,0.0,1009.0,1009.0,0.0,0.0,0.0,0.0,0.0,76.46405660316657,1529.2811320633316,0.0,0.0,1009.0,0.0,456.1689,0.0,456.1689
0.0,0.0,911,911.0,0.0,0.0,0.0,0.0,0.0,idle,0.0,0.0,0.0,911.0,911.0,56.46405660316658,1129.2811320633316,0.0,HP,0.45,409.95,0.0,0.0,0.0,1.607142857142857,0.0,911.0,911.0,0.0,0.0,0.0,0.0,OK,911.0,0.0,911,0.0,911.0,0.0,0.0,0.0,911.0,911.0,0.0,0.0,0.0,0.0,0.0,56.46405660316658,1129.2811320633316,0.0,0.0,911.0,0.0,411.8631,0.0,411.8631
0.0,0.0,738,738.0,0.0,0.0,0.0,0.0,0.0,idle,0.0,0.0,0.0,738.0,738.0,36.464056603166576,729.2811320633316,0.0,HFP,0.28,206.64,0.0,0.0,0.0,1.0,0.0,738.0,738.0,0.0,0.0,0.0,0.0,OK,738.0,0.0,738,0.0,738.0,0.0,0.0,0.0,738.0,738.0,0.0,0.0,0.0,0.0,0.0,36.464056603166576,729.2811320633316,0.0,0.0,738.0,0.0,333.6498,0.0,333.6498
0.0,0.0,659,659.0,0.0,0.0,0.0,0.0,0.0,idle,0.0,0.0,0.0,659.0,659.0,20.0,400.0,0.0,HFP,0.28,184.52,0.0,0.0,0.0,1.0,0.0,659.0,659.0,0.0,0.0,0.0,0.0,OK,659.0,0.0,659,0.0,659.0,0.0,0.0,0.0,659.0,659.0,0.0,0.0,0.0,0.0,0.0,20.0,400.0,0.0,0.0,659.0,0.0,297.9339,0.0,297.9339
0.0,0.0,604,604.0,0.0,0.0,0.0,0.0,0.0,idle,0.0,0.0,0.0,604.0,604.0,20.0,400.0,0.0,HFP,0.28,169.12,0.0,0.0,0.0,1.0,0.0,604.0,604.0,0.0,0.0,0.0,0.0,OK,604.0,0.0,604,0.0,604.0,0.0,0.0,0.0,604.0,604.0,0.0,0.0,0.0,0.0,0.0,20.0,400.0,0.0,0.0,604.0,0.0,273.0684,0.0,273.0684
0.0,0.0,567,567.0,0.0,0.0,0.0,0.0,0.0,idle,0.0,0.0,0.0,567.0,567.0,20.0,400.0,0.0,HFP,0.28,158.76000000000002,0.0,0.0,0.0,1.0,0.0,567.0,567.0,0.0,0.0,0.0,0.0,OK,567.0,0.0,567,0.0,567.0,0.0,0.0,0.0,567.0,567.0,0.0,0.0,0.0,0.0,0.0,20.0,400.0,0.0,0.0,567.0,0.0,256.3407,0.0,256.3407
0.0,0.0,577,577.0,0.0,0.0,0.0,0.0,0.0,idle,0.0,0.0,0.0,577.0,577.0,20.0,400.0,0.0,HFP,0.28,161.56,0.0,0.0,0.0,1.0,0.0,577.0,577.0,0.0,0.0,0.0,0.0,OK,577.0,0.0,577,0.0,577.0,0.0,0.0,0.0,577.0,577.0,0.0,0.0,0.0,0.0,0.0,20.0,400.0,0.0,0.0,577.0,0.0,260.8617,0.0,260.8617
0.0,0.0,588,588.0,0.0,0.0,0.0,0.0,0.0,idle,0.0,0.0,0.0,588.0,588.0,20.0,400.0,0.0,HFP,0.28,164.64,0.0,0.0,0.0,1.0,0.0,588.0,588.0,0.0,0.0,0.0,0.0,OK,588.0,0.0,588,0.0,588.0,0.0,0.0,0.0,588.0,588.0,0.0,0.0,0.0,0.0,0.0,20.0,400.0,0.0,0.0,588.0,0.0,265.8348,0.0,265.8348
0.0,0.0,567,567.0,0.0,0.0,0.0,0.0,0.0,idle,0.0,0.0,0.0,567.0,567.0,20.0,400.0,0.0,HFP,0.28,158.76000000000002,0.0,0.0,0.0,1.0,0.0,567.0,567.0,0.0,0.0,0.0,0.0,OK,567.0,0.0,567,0.0,567.0,0.0,0.0,0.0,567.0,567.0,0.0,0.0,0.0,0.0,0.0,20.0,400.0,0.0,0.0,567.0,0.0,256.3407,0.0,256.3407
68.20770202924705,0.0,684,684.0,0.0,66.480644441108,0.0,0.0,68.20770202924705,charge,0.0,0.0,0.0,684.0,684.0,23.3240322220554,466.480644441108,0.0,HFP,0.28,191.52,0.0,0.0,18.61458044351024,1.0,0.0,684.0,684.0,66.480644441108,0.0,-66.480644441108,100.0,CRITICAL,684.0,68.20770202924705,684,0.0,684.0,66.480644441108,0.0,0.0,684.0,684.0,0.0,0.0,66.480644441108,0.0,0.0,23.3240322220554,466.480644441108,0.0,0.0,684.0,0.0,309.2364,0.0,309.2364
298.49403324612945,0.0,800,800.0,0.0,290.9359955202593,0.0,0.0,298.49403324612945,charge,0.0,0.0,0.0,800.0,800.0,37.87083199806837,757.4166399613673,0.0,HFP,0.28,224.00000000000003,0.0,0.0,81.46207874567261,1.0,0.0,800.0,800.0,290.9359955202593,0.0,-290.9359955202593,100.0,CRITICAL,800.0,298.49403324612945,800,0.0,800.0,290.9359955202593,0.0,0.0,800.0,800.0,0.0,0.0,290.9359955202593,0.0,0.0,37.87083199806837,757.4166399613673,0.0,0.0,800.0,0.0,361.68,0.0,361.68
