ev_is_hora_punta,ev_tarifa_aplicada_soles,ev_energia_total_kwh,ev_costo_carga_soles,ev_energia_motos_kwh,ev_energia_mototaxis_kwh,ev_co2_reduccion_motos_kg,ev_co2_reduccion_mototaxis_kg,ev_reduccion_directa_co2_kg,ev_demand_kwh,solar_is_hora_punta,solar_tarifa_aplicada_soles,solar_ahorro_soles,solar_reduccion_indirecta_co2_kg,solar_co2_mall_kg,solar_co2_ev_kg,bess_soc_percent,bess_charge_kwh,bess_discharge_kwh,bess_to_mall_kwh,bess_to_ev_kwh,mall_demand_kwh,mall_demand_reduction_kwh,mall_cost_soles,total_reduccion_co2_kg,total_costo_soles,total_ahorro_soles
0,0.28,281.20000000000005,78.736,222.0,59.2,0.0,0.0,0.0,281.20000000000005,0,0.28,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.536,0.0,0.15008001,0.0,150.08,0.0
0,0.28,281.20000000000005,78.736,222.0,59.2,0.0,0.0,0.0,281.20000000000005,0,0.28,40.179592,64.875694,0.0,0.0,28.227358,143.49854,0.0,0.0,0.0,0.622,0.0,0.17415999,0.0,174.16,40.179592
0,0.28,281.20000000000005,78.736,222.0,59.2,0.0,0.0,0.0,281.20000000000005,0,0.28,256.10208,413.5134,232.6734,0.0,51.16099,400.0,0.0,0.0,0.0,0.757,514.6503,0.21196,0.0,67.85791,256.10208
0,0.28,281.20000000000005,78.736,222.0,59.2,0.0,0.0,0.0,281.20000000000005,0,0.28,546.27625,882.0411,501.831,0.0,74.09463,400.0,0.0,0.0,0.0,1.11,1110.0,0.31080002,0.0,0.0,546.27625
0,0.28,281.20000000000005,78.736,222.0,59.2,11.615715,4.9781637,16.59388,281.20000000000005,0,0.28,685.4345,1106.7319,568.7418,16.593878,97.02826,400.0,0.0,0.0,0.0,1.258,1258.0,0.35224,0.0,0.0,685.4345
0,0.28,281.20000000000005,78.736,222.0,59.2,10.163751,4.355893,14.519644,281.20000000000005,0,0.28,808.2731,1305.0723,860.3463,14.519644,100.0,400.0,0.0,0.0,0.0,1.903,1903.0,0.53284,0.0,0.0,808.2731
0,0.28,281.20000000000005,78.736,222.0,59.2,11.615715,4.9781637,16.59388,281.20000000000005,0,0.28,808.2731,1305.0723,1066.956,16.593878,100.0,0.0,0.0,0.0,0.0,2.36,2360.0,0.6608,0.0,0.0,808.2731
0,0.28,281.20000000000005,78.736,222.0,59.2,15.971608,6.844975,22.816584,281.20000000000005,0,0.28,771.0986,1245.0487,1114.8785,22.816584,100.0,0.0,0.0,0.0,0.0,2.466,2466.0,0.69048,0.0,0.0,771.0986
0,0.28,281.20000000000005,78.736,222.0,59.2,10.163751,4.355893,14.519644,281.20000000000005,0,0.28,798.8462,1289.8513,1086.8484,14.519644,100.0,0.0,0.0,0.0,0.0,2.404,2404.0,0.67312,0.0,0.0,798.8462
0,0.28,281.20000000000005,78.736,222.0,59.2,20.327501,8.711786,29.039288,281.20000000000005,0,0.28,808.2731,1305.0723,1079.6147,29.039288,100.0,0.0,0.0,0.0,0.0,2.388,2388.0,0.66864,0.0,0.0,808.2731
0,0.28,281.20000000000005,78.736,222.0,59.2,23.23143,9.956327,33.18776,281.20000000000005,0,0.28,672.6578,1086.102,1052.9143,33.187756,75.85933,0.0,400.0,400.0,0.0,2.446,2328.9412,0.68488,180.84,0.0,672.6578
0,0.28,281.20000000000005,78.736,222.0,59.2,26.135359,11.200868,37.336227,281.20000000000005,0,0.28,217.52934,351.23218,133.05595,37.336227,98.79297,400.0,0.0,0.0,0.0,2.315,294.3065,0.64820004,0.0,565.7942,217.52934
0,0.28,281.20000000000005,78.736,222.0,59.2,0.0,0.0,0.0,281.20000000000005,0,0.28,45.672977,73.745544,0.0,0.0,100.0,163.11778,0.0,0.0,0.0,2.267,0.0,0.63475996,0.0,659.16815,45.672977
1,0.45,281.20000000000005,126.54,222.0,59.2,0.0,0.0,0.0,281.20000000000005,1,0.45,0.0,0.0,0.0,0.0,75.85933,0.0,400.0,322.004,77.996,2.254,0.0,1.0143,180.84,869.3982,0.0
1,0.45,281.20000000000005,126.54,222.0,59.2,0.0,0.0,0.0,281.20000000000005,1,0.45,0.0,0.0,0.0,0.0,51.718666,0.0,400.0,289.888,110.112,2.215,0.0,0.99674994,180.84,866.3004,0.0
1,0.45,281.20000000000005,126.54,222.0,59.2,0.0,0.0,0.0,281.20000000000005,1,0.45,0.0,0.0,0.0,0.0,27.578,0.0,400.0,280.712,119.288,2.158,0.0,0.9711,180.84,844.7796,0.0
1,0.45,281.20000000000005,126.54,222.0,59.2,0.0,0.0,0.0,281.20000000000005,1,0.45,0.0,0.0,0.0,0.0,20.0,0.0,128.464,0.0,125.56403,1.993,0.0,0.89685,56.767498,898.15497,0.0
1,0.45,281.20000000000005,126.54,222.0,59.2,0.0,0.0,0.0,281.20000000000005,1,0.45,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,1.213,0.0,0.54585004,0.0,364.04816,0.0
0,0.28,281.20000000000005,78.736,222.0,59.2,0.0,0.0,0.0,281.20000000000005,0,0.28,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.733,0.0,0.20524,0.0,205.24,0.0
0,0.28,281.20000000000005,78.736,222.0,59.2,0.0,0.0,0.0,281.20000000000005,0,0.28,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.642,0.0,0.17976001,0.0,179.76,0.0
0,0.28,281.20000000000005,78.736,222.0,59.2,0.0,0.0,0.0,281.20000000000005,0,0.28,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.609,0.0,0.17052001,0.0,170.52,0.0
0,0.28,281.20000000000005,78.736,222.0,59.2,0.0,0.0,0.0,281.20000000000005,0,0.28,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.616,0.0,0.17248,0.0,172.48,0.0
0,0.28,281.20000000000005,78.736,222.0,59.2,0.0,0.0,0.0,281.20000000000005,0,0.28,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.598,0.0,0.16744,0.0,167.44,0.0
0,0.28,281.20000000000005,78.736,222.0,59.2,0.0,0.0,0.0,281.20000000000005,0,0.28,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.584,0.0,0.16352,0.0,163.52,0.0
0,0.28,281.20000000000005,78.736,222.0,59.2,0.0,0.0,0.0,281.20000000000005,0,0.28,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.533,0.0,0.14924,0.0,149.24,0.0
0,0.28,281.20000000000005,78.736,222.0,59.2,0.0,0.0,0.0,281.20000000000005,0,0.28,39.60644,63.95026,0.0,0.0,28.109997,141.45158,0.0,0.0,0.0,0.646,0.0,0.18088001,0.0,180.88,39.60644
0,0.28,281.20000000000005,78.736,222.0,59.2,0.0,0.0,0.0,281.20000000000005,0,0.28,300.2665,484.82318,303.98315,0.0,51.04363,400.0,0.0,0.0,0.0,0.738,672.3804,0.20663999,0.0,18.373493,300.2665
0,0.28,281.20000000000005,78.736,222.0,59.2,0.0,0.0,0.0,281.20000000000005,0,0.28,591.6606,955.3205,428.1387,0.0,73.977264,400.0,0.0,0.0,0.0,0.947,947.0,0.26516,0.0,0.0,591.6606
0,0.28,281.20000000000005,78.736,222.0,59.2,8.711786,3.7336226,12.445409,281.20000000000005,0,0.28,664.5283,1072.9758,565.5771,12.445409,96.9109,400.0,0.0,0.0,0.0,1.251,1251.0,0.35028002,0.0,0.0,664.5283
0,0.28,281.20000000000005,78.736,222.0,59.2,15.971608,6.844975,22.816584,281.20000000000005,0,0.28,808.2731,1305.0723,896.5143,22.816584,100.0,400.0,0.0,0.0,0.0,1.983,1983.0,0.55524004,0.0,0.0,808.2731
0,0.28,281.20000000000005,78.736,222.0,59.2,13.067679,5.600434,18.668114,281.20000000000005,0,0.28,808.2731,1305.0723,1102.6719,18.668114,100.0,0.0,0.0,0.0,0.0,2.439,2439.0,0.68292,0.0,0.0,808.2731
0,0.28,281.20000000000005,78.736,222.0,59.2,14.519644,6.2227044,20.742348,281.20000000000005,0,0.28,808.2731,1305.0723,1097.6989,20.742348,100.0,0.0,0.0,0.0,0.0,2.428,2428.0,0.67983997,0.0,0.0,808.2731
0,0.28,281.20000000000005,78.736,222.0,59.2,20.327501,8.711786,29.039288,281.20000000000005,0,0.28,536.97864,867.02875,837.98944,29.039288,75.85933,0.0,400.0,400.0,0.0,2.419,1853.549,0.67732,180.84,46.326305,536.97864
0,0.28,281.20000000000005,78.736,222.0,59.2,20.327501,8.711786,29.039288,281.20000000000005,0,0.28,639.79736,1033.0442,823.165,29.039288,98.79297,400.0,0.0,0.0,0.0,2.556,1820.7585,0.71568,0.0,205.8676,639.79736
0,0.28,281.20000000000005,78.736,222.0,59.2,30.491251,13.067679,43.55893,281.20000000000005,0,0.28,438.36746,707.8069,483.40796,43.55893,100.0,400.0,0.0,0.0,0.0,2.508,1069.2501,0.70224,0.0,402.84998,438.36746
0,0.28,281.20000000000005,78.736,222.0,59.2,23.23143,9.956327,33.18776,281.20000000000005,0,0.28,326.623,527.37946,494.1917,33.187756,75.85933,0.0,400.0,400.0,0.0,2.402,1093.1027,0.67256,180.84,254.49124,326.623
0,0.28,281.20000000000005,78.736,222.0,59.2,0.0,0.0,0.0,281.20000000000005,0,0.28,63.28432,102.18157,0.0,0.0,88.81772,226.01543,0.0,0.0,0.0,2.336,0.0,0.65408,0.0,678.48816,63.28432
1,0.45,281.20000000000005,126.54,222.0,59.2,0.0,0.0,0.0,281.20000000000005,1,0.45,0.0,0.0,0.0,0.0,64.677055,0.0,400.0,308.24,91.76,2.278,0.0,1.0251,180.84,886.392,0.0
1,0.45,281.20000000000005,126.54,222.0,59.2,0.0,0.0,0.0,281.20000000000005,1,0.45,0.0,0.0,0.0,0.0,40.536385,0.0,400.0,294.476,105.524,2.189,0.0,0.98504996,180.84,852.5358,0.0
1,0.45,281.20000000000005,126.54,222.0,59.2,0.0,0.0,0.0,281.20000000000005,1,0.45,0.0,0.0,0.0,0.0,20.0,0.0,400.0,230.16669,110.112,2.17,0.0,0.97650003,153.84,872.925,0.0
1,0.45,281.20000000000005,126.54,222.0,59.2,0.0,0.0,0.0,281.20000000000005,1,0.45,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,2.038,0.0,0.9171001,0.0,976.9734,0.0
1,0.45,281.20000000000005,126.54,222.0,59.2,0.0,0.0,0.0,281.20000000000005,1,0.45,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,1.205,0.0,0.54225004,0.0,355.38495,0.0
0,0.28,281.20000000000005,78.736,222.0,59.2,0.0,0.0,0.0,281.20000000000005,0,0.28,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.729,0.0,0.20412,0.0,204.12,0.0
0,0.28,281.20000000000005,78.736,222.0,59.2,0.0,0.0,0.0,281.20000000000005,0,0.28,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.649,0.0,0.18172,0.0,181.72,0.0
0,0.28,281.20000000000005,78.736,222.0,59.2,0.0,0.0,0.0,281.20000000000005,0,0.28,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.608,0.0,0.17024,0.0,170.24,0.0
0,0.28,281.20000000000005,78.736,222.0,59.2,0.0,0.0,0.0,281.20000000000005,0,0.28,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.595,0.0,0.1666,0.0,166.6,0.0
0,0.28,281.20000000000005,78.736,222.0,59.2,0.0,0.0,0.0,281.20000000000005,0,0.28,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.584,0.0,0.16352,0.0,163.52,0.0
0,0.28,281.20000000000005,78.736,222.0,59.2,0.0,0.0,0.0,281.20000000000005,0,0.28,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.574,0.0,0.16072,0.0,160.72,0.0
0,0.28,281.20000000000005,78.736,222.0,59.2,0.0,0.0,0.0,281.20000000000005,0,0.28,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.536,0.0,0.15008001,0.0,150.08,0.0
0,0.28,281.20000000000005,78.736,222.0,59.2,0.0,0.0,0.0,281.20000000000005,0,0.28,45.79804,73.94748,0.0,0.0,29.377817,163.56442,0.0,0.0,0.0,0.615,0.0,0.17220001,0.0,172.2,45.79804
0,0.28,281.20000000000005,78.736,222.0,59.2,0.0,0.0,0.0,281.20000000000005,0,0.28,234.66841,378.90567,198.06566,0.0,52.31145,400.0,0.0,0.0,0.0,0.666,438.10144,0.18648,0.0,63.811596,234.66841
0,0.28,281.20000000000005,78.736,222.0,59.2,0.0,0.0,0.0,281.20000000000005,0,0.28,368.77765,595.4442,406.89,0.0,75.24509,400.0,0.0,0.0,0.0,0.9,900.0,0.252,0.0,0.0,368.77765
0,0.28,281.20000000000005,78.736,222.0,59.2,7.259822,3.1113522,10.371174,281.20000000000005,0,0.28,505.12177,815.59125,538.9032,10.371174,98.17872,400.0,0.0,0.0,0.0,1.192,1192.0,0.33376002,0.0,0.0,505.12177
0,0.28,281.20000000000005,78.736,222.0,59.2,10.163751,4.355893,14.519644,281.20000000000005,0,0.28,603.3094,974.1292,778.7696,14.519644,100.0,400.0,0.0,0.0,0.0,1.735,1722.5604,0.4858,0.0,3.4830754,603.3094
0,0.28,281.20000000000005,78.736,222.0,59.2,14.519644,6.2227044,20.742348,281.20000000000005,0,0.28,808.2731,1305.0723,964.3293,20.742348,100.0,0.0,0.0,0.0,0.0,2.133,2133.0,0.59724,0.0,0.0,808.2731
0,0.28,281.20000000000005,78.736,222.0,59.2,11.615715,4.9781637,16.59388,281.20000000000005,0,0.28,808.2731,1305.0723,992.3595,16.593878,100.0,0.0,0.0,0.0,0.0,2.195,2195.0,0.6146,0.0,0.0,808.2731
