timestamp,hour,minute,day,pv_power_kw,pv_energy_kwh,demand_kw,demand_kwh
2024-01-01 23:45:00-05:00,23,45,0,0.0,0.0,4.4182,1.1046
2024-01-02 00:00:00-05:00,0,0,1,0.0,0.0,3.7338,0.9335
2024-01-02 00:15:00-05:00,0,15,1,0.0,0.0,2.6468,0.6617
2024-01-02 00:30:00-05:00,0,30,1,0.0,0.0,2.7873,0.6968
2024-01-02 00:45:00-05:00,0,45,1,0.0,0.0,3.7887,0.9472
2024-01-02 01:00:00-05:00,1,0,1,0.0,0.0,2.2763,0.5691
2024-01-02 01:15:00-05:00,1,15,1,0.0,0.0,1.6648,0.4162
2024-01-02 01:30:00-05:00,1,30,1,0.0,0.0,1.2564,0.3141
2024-01-02 01:45:00-05:00,1,45,1,0.0,0.0,1.4945,0.3736
2024-01-02 02:00:00-05:00,2,0,1,0.0,0.0,2.058,0.5145
2024-01-02 02:15:00-05:00,2,15,1,0.0,0.0,1.2565,0.3141
2024-01-02 02:30:00-05:00,2,30,1,0.0,0.0,1.636,0.409
2024-01-02 02:45:00-05:00,2,45,1,0.0,0.0,1.4533,0.3633
2024-01-02 03:00:00-05:00,3,0,1,0.0,0.0,0.0,0.0
2024-01-02 03:15:00-05:00,3,15,1,0.0,0.0,0.0,0.0
2024-01-02 03:30:00-05:00,3,30,1,0.0,0.0,0.0,0.0
2024-01-02 03:45:00-05:00,3,45,1,0.0,0.0,0.0,0.0
2024-01-02 04:00:00-05:00,4,0,1,0.0,0.0,0.0,0.0
2024-01-02 04:15:00-05:00,4,15,1,0.0,0.0,0.0,0.0
2024-01-02 04:30:00-05:00,4,30,1,0.0,0.0,0.0,0.0
2024-01-02 04:45:00-05:00,4,45,1,0.0,0.0,0.0,0.0
2024-01-02 05:00:00-05:00,5,0,1,0.0,0.0,1.7331,0.4333
2024-01-02 05:15:00-05:00,5,15,1,0.0,0.0,1.796,0.449
2024-01-02 05:30:00-05:00,5,30,1,0.0,0.0,1.5634,0.3908
2024-01-02 05:45:00-05:00,5,45,1,0.0,0.0,1.5659,0.3915
2024-01-02 06:00:00-05:00,6,0,1,3.5891242934938914,0.8972810733734728,4.9533,1.2383
2024-01-02 06:15:00-05:00,6,15,1,7.364097162843099,1.8410242907107748,3.9556,0.9889
2024-01-02 06:30:00-05:00,6,30,1,11.343122656567536,2.835780664141884,4.5179,1.1295
2024-01-02 06:45:00-05:00,6,45,1,15.848160927984672,3.962040231996168,5.4921,1.373
2024-01-02 07:00:00-05:00,7,0,1,20.800845734280045,5.200211433570011,13.9304,3.4826
2024-01-02 07:15:00-05:00,7,15,1,33.15063707613175,8.287659269032938,12.2817,3.0704
2024-01-02 07:30:00-05:00,7,30,1,46.0890048927795,11.522251223194877,11.2121,2.803
2024-01-02 07:45:00-05:00,7,45,1,59.4461725935686,14.86154314839215,17.2443,4.3111
2024-01-02 08:00:00-05:00,8,0,1,73.10567393498343,18.276418483745857,17.1786,4.2946
2024-01-02 08:15:00-05:00,8,15,1,93.56696896909004,23.391742242272507,21.9559,5.489
2024-01-02 08:30:00-05:00,8,30,1,114.62026969968208,28.65506742492052,23.1838,5.7959
2024-01-02 08:45:00-05:00,8,45,1,136.10110537343485,34.02527634335871,21.9423,5.4856
2024-01-02 09:00:00-05:00,9,0,1,157.8609817940714,39.46524544851785,27.4201,6.855
2024-01-02 09:15:00-05:00,9,15,1,179.26085571184416,44.81521392796104,27.9812,6.9953
2024-01-02 09:30:00-05:00,9,30,1,201.35488051137145,50.338720127842855,31.4045,7.8511
2024-01-02 09:45:00-05:00,9,45,1,223.6899613745628,55.922490343640696,28.5309,7.1327
2024-01-02 10:00:00-05:00,10,0,1,245.69087644308587,61.42271911077147,34.5283,8.6321
2024-01-02 10:15:00-05:00,10,15,1,256.55565151595505,64.13891287898876,22.8211,5.7053
2024-01-02 10:30:00-05:00,10,30,1,266.46351190717667,66.61587797679417,31.6485,7.9121
2024-01-02 10:45:00-05:00,10,45,1,275.7765348319982,68.94413370799955,38.1621,9.5405
2024-01-02 11:00:00-05:00,11,0,1,284.5279267604328,71.1319816901082,24.911,6.2278
2024-01-02 11:15:00-05:00,11,15,1,279.48263131264736,69.87065782816184,22.0808,5.5202
2024-01-02 11:30:00-05:00,11,30,1,274.0476953751541,68.51192384378854,28.3703,7.0926
2024-01-02 11:45:00-05:00,11,45,1,267.7096709307051,66.92741773267628,26.8033,6.7008
2024-01-02 12:00:00-05:00,12,0,1,261.4561711914487,65.36404279786217,17.5101,4.3775
2024-01-02 12:15:00-05:00,12,15,1,227.14626132135828,56.78656533033957,17.279,4.3198
2024-01-02 12:30:00-05:00,12,30,1,191.90215184534884,47.97553796133721,11.7376,2.9344
2024-01-02 12:45:00-05:00,12,45,1,155.10795402498957,38.77698850624739,14.7382,3.6845
2024-01-02 13:00:00-05:00,13,0,1,117.67584728646152,29.41896182161538,17.0456,4.2614
2024-01-02 13:15:00-05:00,13,15,1,130.89913659054795,32.72478414763699,22.9337,5.7334
2024-01-02 13:30:00-05:00,13,30,1,143.47495021262566,35.868737553156414,19.5609,4.8902
2024-01-02 13:45:00-05:00,13,45,1,155.21932774414398,38.804831936036,22.3836,5.5959
2024-01-02 14:00:00-05:00,14,0,1,165.99962998613267,41.49990749653317,21.0558,5.2639
2024-01-02 14:15:00-05:00,14,15,1,153.7236664402912,38.4309166100728,19.8188,4.9547
2024-01-02 14:30:00-05:00,14,30,1,141.52297009055056,35.38074252263764,17.9017,4.4754
2024-01-02 14:45:00-05:00,14,45,1,129.4738491565571,32.368462289139266,27.2071,6.8018
2024-01-02 15:00:00-05:00,15,0,1,117.6538815797332,29.413470394933302,21.4874,5.3718
2024-01-02 15:15:00-05:00,15,15,1,110.9049070828566,27.726226770714156,24.7965,6.1991
2024-01-02 15:30:00-05:00,15,30,1,102.94709024649762,25.73677256162441,21.5098,5.3774
2024-01-02 15:45:00-05:00,15,45,1,93.35643477683742,23.339108694209354,23.0461,5.7615
2024-01-02 16:00:00-05:00,16,0,1,82.70764936291013,20.676912340727533,30.3385,7.5846
2024-01-02 16:15:00-05:00,16,15,1,64.16402633978336,16.04100658494584,33.0696,8.2674
2024-01-02 16:30:00-05:00,16,30,1,46.7463369851447,11.686584246286175,31.0693,7.7673
2024-01-02 16:45:00-05:00,16,45,1,30.747412259479177,7.686853064869794,31.8001,7.95
2024-01-02 17:00:00-05:00,17,0,1,16.550774124672557,4.137693531168139,32.1531,8.0383
2024-01-02 17:15:00-05:00,17,15,1,9.145203745019913,2.2863009362549778,35.3472,8.8368
2024-01-02 17:30:00-05:00,17,30,1,3.74743019329118,0.9368575483227948,48.3878,12.097
2024-01-02 17:45:00-05:00,17,45,1,0.0,0.0,39.1211,9.7803
2024-01-02 18:00:00-05:00,18,0,1,0.0,0.0,34.6297,8.6574
2024-01-02 18:15:00-05:00,18,15,1,0.0,0.0,40.8126,10.2032
2024-01-02 18:30:00-05:00,18,30,1,0.0,0.0,35.6338,8.9085
2024-01-02 18:45:00-05:00,18,45,1,0.0,0.0,52.3974,13.0993
2024-01-02 19:00:00-05:00,19,0,1,0.0,0.0,42.9405,10.7351
2024-01-02 19:15:00-05:00,19,15,1,0.0,0.0,47.6614,11.9153
2024-01-02 19:30:00-05:00,19,30,1,0.0,0.0,42.1067,10.5267
2024-01-02 19:45:00-05:00,19,45,1,0.0,0.0,32.9257,8.2314
2024-01-02 20:00:00-05:00,20,0,1,0.0,0.0,31.2027,7.8007
2024-01-02 20:15:00-05:00,20,15,1,0.0,0.0,33.6883,8.4221
2024-01-02 20:30:00-05:00,20,30,1,0.0,0.0,29.871,7.4677
2024-01-02 20:45:00-05:00,20,45,1,0.0,0.0,29.9024,7.4756
2024-01-02 21:00:00-05:00,21,0,1,0.0,0.0,19.9633,4.9908
2024-01-02 21:15:00-05:00,21,15,1,0.0,0.0,25.5819,6.3955
2024-01-02 21:30:00-05:00,21,30,1,0.0,0.0,16.7115,4.1779
2024-01-02 21:45:00-05:00,21,45,1,0.0,0.0,17.8244,4.4561
2024-01-02 22:00:00-05:00,22,0,1,0.0,0.0,14.0717,3.5179
2024-01-02 22:15:00-05:00,22,15,1,0.0,0.0,13.0643,3.2661
2024-01-02 22:30:00-05:00,22,30,1,0.0,0.0,12.1747,3.0437
2024-01-02 22:45:00-05:00,22,45,1,0.0,0.0,14.0846,3.5211
2024-01-02 23:00:00-05:00,23,0,1,0.0,0.0,4.4656,1.1164
2024-01-02 23:15:00-05:00,23,15,1,0.0,0.0,4.5661,1.1415
2024-01-02 23:30:00-05:00,23,30,1,0.0,0.0,5.5241,1.381
2024-01-02 23:45:00-05:00,23,45,1,0.0,0.0,4.4051,1.1013
2024-01-03 00:00:00-05:00,0,0,2,0.0,0.0,3.924,0.981
2024-01-03 00:15:00-05:00,0,15,2,0.0,0.0,3.5426,0.8856
2024-01-03 00:30:00-05:00,0,30,2,0.0,0.0,2.8858,0.7214
2024-01-03 00:45:00-05:00,0,45,2,0.0,0.0,2.9798,0.7449
2024-01-03 01:00:00-05:00,1,0,2,0.0,0.0,1.5736,0.3934
2024-01-03 01:15:00-05:00,1,15,2,0.0,0.0,1.6906,0.4227
2024-01-03 01:30:00-05:00,1,30,2,0.0,0.0,1.7983,0.4496
2024-01-03 01:45:00-05:00,1,45,2,0.0,0.0,1.7598,0.44
2024-01-03 02:00:00-05:00,2,0,2,0.0,0.0,1.4425,0.3606
2024-01-03 02:15:00-05:00,2,15,2,0.0,0.0,1.3859,0.3465
2024-01-03 02:30:00-05:00,2,30,2,0.0,0.0,1.3815,0.3454
2024-01-03 02:45:00-05:00,2,45,2,0.0,0.0,1.6999,0.425
2024-01-03 03:00:00-05:00,3,0,2,0.0,0.0,0.0,0.0
