Hour,solar_generation
5169,2886.6894777785838
5170,2886.6894777785838
5171,2886.6894777785838
5172,2886.6894777785838
5173,2886.6894777785838
5174,2886.6894777785838
5175,2757.9742925037244
5176,1119.0580093670944
5177,197.0144353566895
5178,0.0
5179,0.0
5180,0.0
5181,0.0
5182,0.0
5183,0.0
5184,0.0
5185,0.0
5186,0.0
5187,0.0
5188,0.0
5189,0.0
5190,0.0
5191,1086.8405428917838
5192,2786.6755319558506
5193,2886.6894777785838
5194,2886.6894777785838
5195,2886.6894777785838
5196,2886.6894777785838
5197,2886.6894777785838
5198,2886.6894777785838
5199,2414.7130890799185
5200,1184.8968687093322
5201,214.29804690884384
5202,0.0
5203,0.0
5204,0.0
5205,0.0
5206,0.0
5207,0.0
5208,0.0
5209,0.0
5210,0.0
5211,0.0
5212,0.0
5213,0.0
5214,0.0
5215,907.2806296142028
5216,1948.1192091681487
5217,2886.6894777785838
5218,2886.6894777785838
5219,2886.6894777785838
5220,2886.6894777785838
5221,2886.6894777785838
5222,2886.6894777785838
5223,2469.8402698202653
5224,1088.5415587202554
5225,168.57304466229974
5226,0.0
5227,0.0
5228,0.0
5229,0.0
5230,0.0
5231,0.0
5232,0.0
5233,0.0
5234,0.0
5235,0.0
5236,0.0
5237,0.0
5238,0.0
5239,910.0381417606608
5240,2339.806448513973
5241,2886.6894777785838
5242,2886.6894777785838
5243,2886.6894777785838
5244,2886.6894777785838
5245,2886.6894777785838
5246,2778.8885290886537
5247,1547.5999586036703
5248,1337.8278314734314
5249,249.44014403332287
5250,0.0
5251,0.0
5252,0.0
5253,0.0
5254,0.0
5255,0.0
5256,0.0
5257,0.0
5258,0.0
5259,0.0
5260,0.0
5261,0.0
5262,0.0
5263,1027.4569062002065
5264,2797.7422746507004
5265,2886.6894777785838
5266,2886.6894777785838
5267,2886.6894777785838
5268,2886.6894777785838
5269,2886.6894777785838
5270,2886.6894777785838
5271,2652.933074679114
5272,989.4781183876148
5273,184.1211089784668
5274,0.0
5275,0.0
5276,0.0
5277,0.0
5278,0.0
5279,0.0
5280,0.0
5281,0.0
5282,0.0
5283,0.0
5284,0.0
5285,0.0
5286,0.0
5287,1261.5100156362678
5288,2755.395785011896
5289,2886.6894777785838
5290,2886.6894777785838
5291,2886.6894777785838
5292,2886.6894777785838
5293,2886.6894777785838
5294,2886.6894777785838
5295,2589.547158945696
5296,989.789260034612
5297,143.6486197965892
5298,0.0
5299,0.0
5300,0.0
5301,0.0
5302,0.0
5303,0.0
5304,0.0
5305,0.0
5306,0.0
5307,0.0
5308,0.0
5309,0.0
5310,0.0
5311,1331.8877863078342
5312,2645.8211252277206
5313,2886.6894777785838
5314,2886.6894777785838
5315,2886.6894777785838
5316,2886.6894777785838
5317,2886.6894777785838
5318,2886.6894777785838
5319,2584.8256802306923
5320,1080.3647654987722
5321,217.679004063556
5322,0.0
5323,0.0
5324,0.0
5325,0.0
5326,0.0
5327,0.0
5328,0.0
5329,0.0
5330,0.0
5331,0.0
5332,0.0
5333,0.0
5334,0.0
5335,1294.8303820200629
5336,2288.7018409191523
5337,2886.6894777785838
5338,2886.6894777785838
5339,2886.6894777785838
5340,2886.6894777785838
5341,2886.6894777785838
5342,2886.6894777785838
5343,2491.246799670973
5344,1260.1748300416125
5345,205.69479751775245
5346,0.0
5347,0.0
5348,0.0
5349,0.0
5350,0.0
5351,0.0
5352,0.0
5353,0.0
5354,0.0
5355,0.0
5356,0.0
5357,0.0
5358,0.0
5359,1588.8535739983056
5360,2817.366373266607
5361,2886.6894777785838
5362,2886.6894777785838
5363,2886.6894777785838
5364,2886.6894777785838
5365,2886.6894777785838
5366,2886.6894777785838
5367,2477.3802319236497
5368,1269.1987396177644
5369,255.24234017319992
5370,0.0
5371,0.0
5372,0.0
5373,0.0
5374,0.0
5375,0.0
5376,0.0
5377,0.0
5378,0.0
5379,0.0
5380,0.0
5381,0.0
5382,0.0
5383,1605.2685265720488
5384,2886.6894777785838
5385,2886.6894777785838
5386,2886.6894777785838
5387,2886.6894777785838
5388,2886.6894777785838
5389,2886.6894777785838
5390,2886.6894777785838
5391,2459.652161916032
5392,1060.2524145533378
5393,189.13011093690093
5394,0.0
5395,0.0
5396,0.0
5397,0.0
5398,0.0
5399,0.0
5400,0.0
5401,0.0
5402,0.0
5403,0.0
5404,0.0
5405,0.0
5406,0.0
5407,1116.635379079843
5408,2369.571750998607
5409,2886.6894777785838
5410,2886.6894777785838
5411,2886.6894777785838
5412,2886.6894777785838
5413,2886.6894777785838
5414,2886.6894777785838
5415,2360.873014995718
5416,1162.3135485724663
5417,197.6943483332088
5418,0.0
5419,0.0
5420,0.0
5421,0.0
5422,0.0
5423,0.0
5424,0.0
5425,0.0
5426,0.0
5427,0.0
5428,0.0
5429,0.0
5430,0.0
5431,1061.51572491634
5432,2512.3934844875325
5433,2886.6894777785838
5434,2886.6894777785838
5435,2886.6894777785838
5436,2886.6894777785838
5437,2886.6894777785838
5438,2886.6894777785838
5439,2211.429218585921
5440,651.2239135506859
5441,109.96143263324736
5442,0.0
5443,0.0
5444,0.0
5445,0.0
5446,0.0
5447,0.0
5448,0.0
5449,0.0
5450,0.0
5451,0.0
5452,0.0
5453,0.0
5454,0.0
5455,1428.3135505183018
5456,2506.393543264646
5457,2886.6894777785838
5458,2886.6894777785838
5459,2886.6894777785838
5460,2886.6894777785838
5461,2886.6894777785838
5462,2886.6894777785838
5463,2712.3836870259784
5464,1020.461268234302
5465,171.6516730081299
5466,0.0
5467,0.0
5468,0.0
5469,0.0
5470,0.0
5471,0.0
5472,0.0
5473,0.0
5474,0.0
5475,0.0
5476,0.0
5477,0.0
5478,0.0
5479,995.6963959654004
5480,2747.8417522307045
5481,2886.6894777785838
5482,2886.6894777785838
5483,2886.6894777785838
5484,2886.6894777785838
5485,2886.6894777785838
5486,2886.6894777785838
5487,2275.2650465403503
5488,1008.3810642234472
5489,147.10281853804165
5490,0.0
5491,0.0
5492,0.0
5493,0.0
5494,0.0
5495,0.0
5496,0.0
5497,0.0
5498,0.0
5499,0.0
5500,0.0
5501,0.0
5502,0.0
5503,484.7573344521417
5504,1948.631366191773
5505,2420.644498356891
5506,2886.6894777785838
5507,2886.6894777785838
5508,2840.880286261368
5509,2886.6894777785838
5510,2886.6894777785838
5511,1127.5485285071622
5512,751.6813576950748
5513,157.31268959994355
5514,0.0
5515,0.0
5516,0.0
5517,0.0
5518,0.0
5519,0.0
5520,0.0
5521,0.0
5522,0.0
5523,0.0
5524,0.0
5525,0.0
5526,118.47399541526585
5527,971.0555241906064
5528,2105.017489922148
5529,2886.6894777785838
5530,2886.6894777785838
5531,2886.6894777785838
5532,2886.6894777785838
5533,2886.6894777785838
5534,2669.283369548403
5535,1957.522772871026
5536,940.1577325366766
5537,134.3935562121808
5538,0.0
5539,0.0
5540,0.0
5541,0.0
5542,0.0
5543,0.0
5544,0.0
5545,0.0
5546,0.0
5547,0.0
5548,0.0
5549,0.0
5550,73.24423350442342
5551,990.745043952526
5552,2211.3211133766763
5553,2886.6894777785838
5554,2886.6894777785838
5555,2886.6894777785838
5556,2886.6894777785838
5557,2886.6894777785838
5558,2886.6894777785838
5559,2023.07633599742
5560,1435.3709710143733
5561,164.7030927526255
5562,0.0
5563,0.0
5564,0.0
5565,0.0
5566,0.0
5567,0.0
5568,0.0
5569,0.0
5570,0.0
5571,0.0
5572,0.0
5573,0.0
5574,94.43702323961249
5575,899.1055973502383
5576,2004.3149084408533
5577,2886.6894777785838
5578,2886.6894777785838
5579,2653.8912899459583
5580,2886.6894777785838
5581,2886.6894777785838
5582,2886.6894777785838
5583,2702.5437358308864
5584,963.7464880769688
5585,196.7173362674608
5586,0.0
5587,0.0
5588,0.0
5589,0.0
5590,0.0
5591,0.0
5592,0.0
5593,0.0
5594,0.0
5595,0.0
5596,0.0
5597,0.0
5598,94.19087034871384
5599,896.8246590662866
5600,1973.370551902431
5601,2782.588315986771
5602,2886.6894777785838
5603,2886.6894777785838
5604,2886.6894777785838
5605,2886.6894777785838
5606,2886.6894777785838
5607,2194.4405531927446
5608,1153.850589375049
5609,201.1954137940852
5610,0.0
5611,0.0
5612,0.0
5613,0.0
5614,0.0
5615,0.0
5616,0.0
5617,0.0
5618,0.0
5619,0.0
5620,0.0
5621,0.0
5622,118.38413878046693
5623,968.2902109319162
5624,2544.0974390418
5625,2886.6894777785838
5626,2886.6894777785838
5627,2886.6894777785838
5628,2886.6894777785838
5629,2886.6894777785838
5630,2886.6894777785838
5631,1652.876387568331
5632,1221.6218933233013
5633,157.28345993397127
5634,0.0
5635,0.0
5636,0.0
5637,0.0
5638,0.0
5639,0.0
5640,0.0
5641,0.0
5642,0.0
5643,0.0
5644,0.0
5645,0.0
5646,130.23863500388197
5647,1015.639211979351
5648,2681.4685890256887
5649,2886.6894777785838
5650,2886.6894777785838
5651,2886.6894777785838
5652,2886.6894777785838
5653,2886.6894777785838
5654,2886.6894777785838
5655,2577.153460035821
5656,1515.8702860217722
5657,231.252307788476
5658,0.0
5659,0.0
5660,0.0
5661,0.0
5662,0.0
5663,0.0
5664,0.0
5665,0.0
5666,0.0
5667,0.0
5668,0.0
5669,0.0
5670,137.53789258134535
5671,1023.7844256356868
5672,2873.30848468737
5673,2886.6894777785838
5674,2886.6894777785838
5675,2886.6894777785838
5676,2886.6894777785838
5677,2883.714078243021
5678,2886.6894777785838
5679,2546.2901182862533
5680,1126.5407991495845
5681,154.99290620073646
5682,0.0
5683,0.0
5684,0.0
5685,0.0
5686,0.0
5687,0.0
5688,0.0
5689,0.0
5690,0.0
5691,0.0
5692,0.0
5693,0.0
5694,115.04995889774447
5695,1253.2912587792898
5696,2632.3586330216444
5697,2886.6894777785838
5698,2886.6894777785838
5699,2886.6894777785838
5700,2886.6894777785838
5701,2886.6894777785838
5702,2886.6894777785838
5703,2772.643378769718
5704,1159.9535332563437
5705,180.23269824096272
5706,0.0
5707,0.0
5708,0.0
5709,0.0
5710,0.0
5711,0.0
5712,0.0
5713,0.0
5714,0.0
5715,0.0
5716,0.0
5717,0.0
5718,162.21700951463666
5719,1446.7397322008756
5720,2453.539258324307
5721,2886.6894777785838
5722,2886.6894777785838
5723,2886.6894777785838
5724,2886.6894777785838
5725,2454.991342869959
5726,2886.6894777785838
5727,2078.355907743185
5728,903.2986149724296
5729,179.5060757606075
5730,0.0
5731,0.0
5732,0.0
5733,0.0
5734,0.0
5735,0.0
5736,0.0
5737,0.0
5738,0.0
5739,0.0
5740,0.0
5741,0.0
5742,87.94514367324086
5743,707.1818370697283
5744,1908.1732295817928
5745,2848.344324341432
5746,2886.6894777785838
5747,2886.6894777785838
5748,2886.6894777785838
5749,2886.6894777785838
5750,2161.775613934697
5751,2224.281415073198
5752,1114.9105307663
5753,188.7248147108012
5754,0.0
5755,0.0
5756,0.0
5757,0.0
5758,0.0
5759,0.0
5760,0.0
5761,0.0
5762,0.0
5763,0.0
5764,0.0
5765,0.0
5766,174.0460832305758
5767,1322.5503420810662
5768,2886.6894777785838
5769,2886.6894777785838
5770,2886.6894777785838
5771,2886.6894777785838
5772,2886.6894777785838
5773,2886.6894777785838
5774,2886.6894777785838
5775,2232.963160674866
5776,1153.3751633866073
5777,212.54159126665635
5778,0.0
5779,0.0
5780,0.0
5781,0.0
5782,0.0
5783,0.0
5784,0.0
5785,0.0
5786,0.0
5787,0.0
5788,0.0
5789,0.0
5790,141.41553594165623
5791,1226.7433744997554
5792,2681.6072017721217
5793,2886.6894777785838
5794,2886.6894777785838
5795,2886.6894777785838
5796,2886.6894777785838
5797,2886.6894777785838
5798,2886.6894777785838
5799,2242.3286942488658
5800,1337.9278724404744
5801,178.8008404347662
5802,0.0
5803,0.0
5804,0.0
5805,0.0
5806,0.0
5807,0.0
5808,0.0
5809,0.0
5810,0.0
5811,0.0
5812,0.0
5813,0.0
5814,188.01944860265817
5815,1179.9322057099898
5816,2886.6894777785838
5817,2886.6894777785838
5818,2886.6894777785838
5819,2886.6894777785838
5820,2886.6894777785838
5821,2886.6894777785838
5822,2886.6894777785838
5823,2445.812716390362
5824,1095.2564129696327
5825,157.40291757607363
5826,0.0
5827,0.0
5828,0.0
5829,0.0
5830,0.0
5831,0.0
5832,0.0
5833,0.0
5834,0.0
5835,0.0
5836,0.0
5837,0.0
5838,143.7641178930121
5839,970.3182788261628
5840,1764.0092515256674
5841,2886.6894777785838
5842,2886.6894777785838
5843,2886.6894777785838
5844,2886.6894777785838
5845,2886.6894777785838
5846,2886.6894777785838
5847,2080.0824190944654
5848,1156.09245671844
5849,138.64029629567992
5850,0.0
5851,0.0
5852,0.0
5853,0.0
5854,0.0
5855,0.0
5856,0.0
5857,0.0
5858,0.0
5859,0.0
5860,0.0
5861,0.0
5862,173.25428385811654
5863,1173.605334913049
5864,2886.6894777785838
5865,2886.6894777785838
5866,2886.6894777785838
5867,2886.6894777785838
5868,2886.6894777785838
5869,2886.6894777785838
5870,1974.7778826056349
5871,1892.5283094907616
5872,1340.414504914807
5873,171.25609290575608
5874,0.0
5875,0.0
5876,0.0
5877,0.0
5878,0.0
5879,0.0
5880,0.0
5881,0.0
5882,0.0
5883,0.0
5884,0.0
5885,0.0
5886,173.34832064404372
5887,1075.2312870364362
5888,2886.6894777785838
5889,2886.6894777785838
5890,2886.6894777785838
5891,2886.6894777785838
5892,2886.6894777785838
5893,2886.6894777785838
5894,2886.6894777785838
5895,1948.7343494864376
5896,940.463800771255
5897,153.73378987671222
5898,0.0
5899,0.0
5900,0.0
5901,0.0
5902,0.0
5903,0.0
5904,0.0
5905,0.0
5906,0.0
5907,0.0
5908,0.0
5909,0.0
5910,150.18947651606834
5911,1457.9220282566796
5912,2662.732934833267
5913,2886.6894777785838
5914,2886.6894777785838
5915,2886.6894777785838
5916,2886.6894777785838
5917,2886.6894777785838
5918,2886.6894777785838
5919,2097.1413828213454
5920,976.0591605575512
5921,185.75961832963972
5922,0.0
5923,0.0
5924,0.0
5925,0.0
5926,0.0
5927,0.0
5928,0.0
5929,0.0
5930,0.0
5931,0.0
5932,0.0
5933,0.0
5934,146.3748228502178
5935,1386.38388175627
5936,2821.141122133291
5937,2886.6894777785838
5938,2886.6894777785838
5939,2886.6894777785838
5940,2886.6894777785838
5941,2886.6894777785838
5942,2886.6894777785838
5943,2317.21802663692
5944,1168.988353282546
5945,138.37410123240946
5946,0.0
5947,0.0
5948,0.0
5949,0.0
5950,0.0
5951,0.0
5952,0.0
5953,0.0
5954,0.0
5955,0.0
5956,0.0
5957,0.0
5958,208.0454010012101
5959,1461.1133914695745
5960,2796.2175208143226
5961,2886.6894777785838
5962,2886.6894777785838
5963,2886.6894777785838
5964,2886.6894777785838
5965,2886.6894777785838
5966,2886.6894777785838
5967,1668.3343619722375
5968,1210.472658804871
5969,173.64234024833124
5970,0.0
5971,0.0
5972,0.0
5973,0.0
5974,0.0
5975,0.0
5976,0.0
5977,0.0
5978,0.0
5979,0.0
5980,0.0
5981,0.0
5982,185.2049087495541
5983,1589.5335147954038
5984,2886.6894777785838
5985,2886.6894777785838
5986,2886.6894777785838
5987,2886.6894777785838
5988,2886.6894777785838
5989,2886.6894777785838
5990,2886.6894777785838
5991,2805.424740814725
5992,1146.1532680317423
5993,147.8651981169616
5994,0.0
5995,0.0
5996,0.0
5997,0.0
5998,0.0
5999,0.0
6000,0.0
6001,0.0
6002,0.0
6003,0.0
6004,0.0
6005,0.0
6006,145.27936467382176
6007,1709.9913237457524
6008,2886.6894777785838
6009,2886.6894777785838
6010,2886.6894777785838
6011,2886.6894777785838
6012,2886.6894777785838
6013,2886.6894777785838
6014,2886.6894777785838
6015,2127.537414686941
6016,947.977488735278
6017,145.94678130046017
6018,0.0
6019,0.0
6020,0.0
6021,0.0
6022,0.0
6023,0.0
6024,0.0
6025,0.0
6026,0.0
6027,0.0
6028,0.0
6029,0.0
6030,180.9517118736246
6031,1204.0386922352004
6032,2047.498376973236
6033,2886.6894777785838
6034,2886.6894777785838
6035,2886.6894777785838
6036,2886.6894777785838
6037,2886.6894777785838
6038,2886.6894777785838
6039,2631.164970957517
6040,945.2402962466236
6041,171.33839067289884
6042,0.0
6043,0.0
6044,0.0
6045,0.0
6046,0.0
6047,0.0
6048,0.0
6049,0.0
6050,0.0
6051,0.0
6052,0.0
6053,0.0
6054,205.6982762217876
6055,1392.3422439777123
6056,2132.84442832689
6057,2886.6894777785838
6058,2886.6894777785838
6059,2886.6894777785838
6060,2886.6894777785838
6061,2674.919064436768
6062,2378.942183874301
6063,1578.6348681683896
6064,868.6947670043464
6065,103.45169214992902
6066,0.0
6067,0.0
6068,0.0
6069,0.0
6070,0.0
6071,0.0
6072,0.0
6073,0.0
6074,0.0
6075,0.0
6076,0.0
6077,0.0
6078,181.3824052058895
6079,1229.6730385136227
6080,1297.889628408114
6081,2579.721378153158
6082,2707.6715224215427
6083,2886.6894777785838
6084,2886.6894777785838
6085,2886.6894777785838
6086,2886.6894777785838
6087,2462.553358277038
6088,1205.6447282274928
6089,149.5145042498044
6090,0.0
6091,0.0
6092,0.0
6093,0.0
6094,0.0
6095,0.0
6096,0.0
6097,0.0
6098,0.0
6099,0.0
6100,0.0
6101,0.0
6102,408.7711487324978
6103,1883.4343732388995
6104,2886.6894777785838
6105,2886.6894777785838
6106,2886.6894777785838
6107,2886.6894777785838
6108,2886.6894777785838
6109,2886.6894777785838
6110,2886.6894777785838
6111,2478.698512273588
6112,1002.846313355382
6113,123.9959102332724
6114,0.0
6115,0.0
6116,0.0
6117,0.0
6118,0.0
6119,0.0
6120,0.0
6121,0.0
6122,0.0
6123,0.0
6124,0.0
6125,0.0
6126,385.6386968090805
6127,1782.1720309322973
6128,2886.6894777785838
6129,2886.6894777785838
6130,2886.6894777785838
6131,2886.6894777785838
6132,2886.6894777785838
6133,2886.6894777785838
6134,2886.6894777785838
6135,2720.2222123274905
6136,1180.497758891918
6137,143.77541229926663
6138,0.0
6139,0.0
6140,0.0
6141,0.0
6142,0.0
6143,0.0
6144,0.0
6145,0.0
6146,0.0
6147,0.0
6148,0.0
6149,0.0
6150,268.33046288849977
6151,1456.8497366518252
6152,2886.6894777785838
6153,2886.6894777785838
6154,2886.6894777785838
6155,2886.6894777785838
6156,2886.6894777785838
6157,2886.6894777785838
6158,2886.6894777785838
6159,2608.492351340777
6160,997.8499932828738
6161,137.93054180683046
6162,0.0
6163,0.0
6164,0.0
6165,0.0
6166,0.0
6167,0.0
6168,0.0
6169,0.0
6170,0.0
6171,0.0
6172,0.0
6173,0.0
6174,248.7524983557922
6175,1261.0038188370388
6176,2886.6894777785838
6177,2886.6894777785838
6178,2886.6894777785838
6179,2886.6894777785838
6180,2886.6894777785838
6181,2886.6894777785838
6182,2886.6894777785838
6183,1815.4125894072256
6184,649.1763320222013
6185,124.22828166277851
6186,0.0
6187,0.0
6188,0.0
6189,0.0
6190,0.0
6191,0.0
6192,0.0
6193,0.0
6194,0.0
6195,0.0
6196,0.0
6197,0.0
6198,364.2139480459084
6199,1456.2616250840451
6200,2551.7172627469963
6201,2886.6894777785838
6202,2886.6894777785838
6203,2886.6894777785838
6204,2886.6894777785838
6205,2130.7759117750084
6206,1539.752800252687
6207,1778.086586187834
6208,1111.416122530857
6209,132.27844267692294
6210,0.0
6211,0.0
6212,0.0
6213,0.0
6214,0.0
6215,0.0
6216,0.0
6217,0.0
6218,0.0
6219,0.0
6220,0.0
6221,0.0
6222,281.20419302709047
6223,1537.8799401417857
6224,2749.1922980486743
6225,2886.6894777785838
6226,2886.6894777785838
6227,2886.6894777785838
6228,2886.6894777785838
6229,2886.6894777785838
6230,2886.6894777785838
6231,1770.3811142529769
6232,1035.8984891635896
6233,114.77257560422088
6234,0.0
6235,0.0
6236,0.0
6237,0.0
6238,0.0
6239,0.0
6240,0.0
6241,0.0
6242,0.0
6243,0.0
6244,0.0
6245,0.0
6246,232.0812578994084
6247,1266.582240699812
6248,2886.6894777785838
6249,2886.6894777785838
6250,2886.6894777785838
6251,2886.6894777785838
6252,2886.6894777785838
6253,2886.6894777785838
6254,2886.6894777785838
6255,2151.6186280192564
6256,1190.023287350175
6257,139.6473139297019
6258,0.0
6259,0.0
6260,0.0
6261,0.0
6262,0.0
6263,0.0
6264,0.0
6265,0.0
6266,0.0
6267,0.0
6268,0.0
6269,0.0
6270,369.5622929345356
6271,1741.3878721509304
6272,2886.6894777785838
6273,2886.6894777785838
6274,2886.6894777785838
6275,2886.6894777785838
6276,2886.6894777785838
6277,2886.6894777785838
6278,2886.6894777785838
6279,2470.448430642224
6280,1183.2976277218224
6281,146.82751733415813
6282,0.0
6283,0.0
6284,0.0
6285,0.0
6286,0.0
6287,0.0
6288,0.0
6289,0.0
6290,0.0
