episodio,costo_total_soles,costo_hp_soles,costo_hfp_soles,r_cost_mean,r_grid_stable_mean,grid_ramp_mean_kwh,grid_ramp_std_kwh,grid_cv,grid_peak_kwh,grid_valley_kwh,peak_valley_ratio,co2_f6d_kg,co2_neta_kg,grid_import_kwh,solar_export_kwh,solar_export_co2_kg
28,2551997.227804341,1101341.5913765675,1450655.6364277736,-0.3970349486556642,-0.14186476235492065,212.80999575280467,258.15748434718506,0.8504358495882822,2667.639713064952,0.0,,228598.6615181004,2454124.312675286,7360735.559713485,505637.3844682601,228598.6615181004
29,2458442.7475141226,834607.3120670386,1623835.435447084,-0.3978700112495278,-0.14563976033938225,218.5007565035351,256.75479310699205,0.8550512413542947,2818.154496100424,0.0,,235047.1866585377,2435850.1267169,7376783.392538183,519900.87736902834,235047.1866585377
30,2367851.012772584,572750.0692004914,1795100.9435720923,-0.39866575766777923,-0.14792662502673531,221.91126138782906,257.223876088094,0.8527499766361324,2858.9017143015094,0.0,,238469.6508332046,2438245.2665484524,7396831.945334048,527471.0259526755,238469.6508332046
31,2317116.54233802,443041.7570132826,1874074.7853247374,-0.3910883210746426,-0.14781985478522977,221.74723042306957,256.13203788106796,0.8517940888789008,2829.181261153394,0.0,,235948.10451714348,2439846.648194004,7386664.096514745,521893.6176004058,235948.10451714348
32,2296017.839774058,406188.4859438172,1889829.3538302411,-0.38748511826993237,-0.1456438624588191,218.47427917769568,256.6042960062233,0.8577233985406424,2792.5555164610787,0.0,,229260.46750177152,2444137.625161619,7360854.000319568,507101.23313818075,229260.46750177152
33,2295549.055956657,389792.01438625436,1905757.0415704024,-0.38739988794669694,-0.14503828148812659,217.5726271996164,254.9849669337777,0.8531384493638352,2778.5735879157846,0.0,,237388.61480581565,2438300.963007358,7379954.748140988,525079.8823397824,237388.61480581565
34,2299700.047045664,394748.7466090907,1904951.3004365736,-0.3881857331146652,-0.1482817204031454,222.49010264574125,258.27479094777055,0.850885622495313,2737.882240104589,0.0,,237641.3633574672,2437029.582096872,7387929.730257208,525638.9368667711,237641.3633574672
35,2300043.410295884,377895.53798854136,1922147.872307343,-0.3885118441376155,-0.14607306913445942,219.17449893082923,260.655919054705,0.8456356901758337,2688.8545043521167,0.0,,241810.9033676447,2442025.909834584,7410392.467532009,534861.5425075088,241810.9033676447
36,2271958.8215724975,322793.66115526715,1949165.1604172303,-0.3839907499103864,-0.14039062676745367,210.6477121981575,262.2713600967103,0.8399418967772995,2622.3891451891104,0.0,,239171.30105620352,2454982.339590864,7383672.863587947,529023.0060964467,239171.30105620352
37,2237282.830249242,252627.35229311945,1984655.477956123,-0.37811713152996684,-0.13919590269580195,208.8519810889174,263.13441110230247,0.8451366570404761,2845.2366087903374,0.0,,229955.7598389513,2466554.288033078,7353375.036501688,508639.1502741678,229955.7598389513
38,2218826.601039161,205373.76601683148,2013452.83502233,-0.3746917766148746,-0.14037651655812172,210.58518976584588,260.68414439906815,0.8513049186192176,2667.5207069745647,0.0,,225057.8030322528,2458986.8884080364,7349762.283992342,497805.35950509354,225057.8030322528
39,2220068.8770991266,190485.5444105346,2029583.3326885924,-0.3745725094050896,-0.141233332642965,211.86286004871002,263.0864635192936,0.8475633127344836,2689.851333593503,0.0,,230629.47990888104,2456988.731464603,7372825.978340714,510129.35171174747,230629.47990888104
40,2218529.849914957,186519.3939634512,2032010.4559515058,-0.37394360507298735,-0.14094236498373713,211.44763187778182,261.8295391926105,0.8462846220563506,2745.1099000071613,0.0,,231931.3586435045,2453534.416195941,7372557.2659759,513008.97731365735,231931.3586435045
41,2233469.9669371545,219289.94877447537,2014180.0181626792,-0.37640670953677174,-0.14132956512863007,212.05835353415483,263.7003097195816,0.8408921882025989,2651.052589095408,0.0,,237111.55428708016,2455880.441784394,7382403.762948699,524467.0521722632,237111.55428708016
42,2267874.670423907,305388.79323500185,1962485.8771889047,-0.3819781515115516,-0.14109327131226598,211.6645434001829,264.250984025832,0.8374255719281212,2739.892220987661,0.0,,242688.8937432851,2465592.8116986724,7391648.814240412,536803.569438808,242688.8937432851
43,2323378.0419550445,474904.04299458745,1848473.9989604573,-0.38992187611745643,-0.13858247162068085,207.89046743282933,262.2818784840744,0.8417890197714903,2698.397368936321,0.0,,232126.89547818835,2473118.5437045246,7367895.654119573,513441.48524261964,232126.89547818835
44,2415091.4080081703,718331.9416352359,1696759.4663729342,-0.39771105791869443,-0.13935318906186536,209.09358076003053,261.93231196634224,0.840580041036798,2710.589320000892,0.0,,235105.3149344689,2468078.573533981,7374969.420036142,520029.45130384626,235105.3149344689
45,2507729.411363205,977410.7219849918,1530318.6893782131,-0.40309341743525656,-0.1385727113955539,207.875135132782,262.2642459703497,0.8424353871096525,2661.129224316838,0.0,,232007.15574643295,2466810.6779953577,7365447.384862564,513176.6329273014,232007.15574643295
46,2596369.649645279,1218231.0526927016,1378138.5969525771,-0.40718638313165834,-0.13947899702324434,209.2404051767424,262.21499196117617,0.8439378586192021,2666.816548960801,0.0,,232592.42904154956,2459678.818872888,7365275.603365203,514471.19894171547,232592.42904154956
47,2673390.4937460613,1438557.7154754242,1234832.7782706376,-0.4063436663939954,-0.1375351169678667,206.37628158238442,263.83279753230386,0.8433697683133476,2697.780504326792,0.0,,229122.0564261777,2471028.0570994737,7351139.831830538,506795.08167701325,229122.0564261777
48,2721924.6721583176,1561386.820876598,1160537.8512817197,-0.40310342196871674,-0.13774635860402373,206.67824769637582,263.24002691631114,0.8406747987260956,2789.1751669495325,0.0,,233795.0862513048,2464445.0180873,7362450.380730185,517131.35645057465,233795.0862513048
49,2739902.4825251987,1612649.3470324068,1127253.1354927924,-0.3984165883212793,-0.1382176775501138,207.33402279638494,262.69280866743395,0.8423026551529293,2732.0516734993807,0.0,,231512.973621928,2469124.371197677,7359359.264326939,512083.55147517804,231512.973621928
50,2708203.241538362,1510929.7547594453,1197273.4867789168,-0.4032495982969579,-0.13869195836080783,208.09933661422784,264.07775078408577,0.8383448551481316,2824.6729812031977,0.0,,238380.786432848,2466631.5496412534,7379120.857619673,527274.4667835612,238380.786432848
51,86598.77336889572,38633.79265218114,47964.98071671459,-0.4349755000943122,-0.1489580145381681,223.4370218072521,260.94445631287573,0.6910379272596975,2213.1846833066784,0.0,,,,,,
