episodio,costo_total_soles,costo_hp_soles,costo_hfp_soles,r_cost_mean,r_grid_stable_mean,grid_ramp_mean_kwh,grid_ramp_std_kwh,grid_cv,grid_peak_kwh,grid_valley_kwh,peak_valley_ratio,co2_f6d_kg,co2_neta_kg,grid_import_kwh,solar_export_kwh,solar_export_co2_kg
12,2233849.2128029047,229298.75125530464,2004550.4615475996,-0.37517848876429105,-0.16953536734219132,254.45701989245867,286.8243279290718,0.9096429631926841,2894.9240199362844,0.0,,226634.46866067612,2480591.225877224,7358243.6991591,501292.78624347737,226634.46866067612
13,2225472.8556670933,201311.02998858262,2024161.8256785106,-0.37367634674617567,-0.1655889308028988,248.51398015449496,281.41407560483793,0.8942179430410228,2810.461052844914,0.0,,227223.175111745,2477007.8881106586,7371063.439777215,502594.9460556182,227223.175111745
14,2217565.1903415173,178598.0141330716,2038967.1762084456,-0.3724107052369169,-0.1617967118797117,242.79266164921285,278.4756441578082,0.8886774161330372,2832.6032337642764,0.0,,227769.531857796,2476270.8176107025,7377685.796450471,503803.4325542933,227769.531857796
15,2224564.8750064285,187152.10435313368,2037412.7706532949,-0.3734251119541811,-0.15923683529448376,238.95519428574485,274.0229624467769,0.8780595134643115,2910.7370582925328,0.0,,226756.0246275686,2479082.78053573,7379253.629789947,501561.65588933555,226756.0246275686
16,2236798.657333112,231139.37942567145,2005659.2779074404,-0.37533613454150494,-0.15554611965760118,233.39857172060826,270.18058990571984,0.8722112436903421,2771.540915284525,0.0,,228899.5437604545,2472498.423430611,7392454.412181575,506302.90590677835,228899.5437604545
17,2270914.69160425,322778.61545409437,1948136.076150156,-0.38115859039914546,-0.15351388484882916,230.39913402228794,270.51274610960706,0.869495421123333,2917.2479762113267,0.0,,228810.6676709468,2471525.989698749,7378853.461053024,506106.3208824304,228810.6676709468
18,2328626.498102089,484660.9952573242,1843965.5028447646,-0.38947553354244596,-0.1510168973609423,226.6280126110939,267.77122889666407,0.8647911295951664,2822.6398604910137,0.0,,228522.3951056967,2472252.3883475456,7380111.173348643,505468.69078897743,228522.3951056967
19,2419411.228770512,717702.1833565363,1701709.0454139751,-0.39781854390547056,-0.1491992771426391,223.91493515329796,266.7141337608236,0.859678779339671,2962.0619446996657,0.0,,227198.15474568796,2474797.0524812974,7373571.664091486,502539.60350738326,227198.15474568796
20,2517642.804637655,997141.8932970343,1520500.9113406208,-0.4010303642785555,-0.14627680740316723,219.49707853464457,264.5789750906646,0.859282286036162,2864.011167934173,0.0,,229624.15701451065,2469278.7314667217,7390578.990695693,507905.6779794529,229624.15701451065
21,2615653.396545008,1263115.7330560952,1352537.6634889124,-0.40371380073128355,-0.14478713816129396,217.26236770332184,262.51858646235524,0.8564439092894216,2816.501773763993,0.0,,227268.1321871187,2471074.975943648,7374523.90771946,502694.3866116317,227268.1321871187
22,2696852.972560717,1477943.9087150157,1218909.0638457015,-0.40351870245132915,-0.1453736341653252,218.14801569634412,263.8433279440168,0.8554447935700108,2751.4902706096723,0.0,,228030.8810472348,2463206.49343038,7374718.082818321,504381.5108321938,228030.8810472348
23,2738945.5609083865,1599916.0537407296,1139029.507167657,-0.3994887934291294,-0.1439055748309972,215.94235339840452,260.21713087617763,0.8526096548988604,2712.7882820949303,0.0,,230382.91850320963,2468394.2881603786,7381857.132973348,509583.9825330892,230382.91850320963
24,2750829.1781599256,1631947.0174016554,1118882.1607582704,-0.39698644907980035,-0.1431296049515455,214.7199586179132,260.81838773168016,0.8517266486793141,2786.1833569643395,0.0,,230326.8063120132,2465184.6186609096,7372159.502608161,509459.8679761407,230326.8063120132
25,2703975.3493791698,1512671.3541401392,1191303.9952390308,-0.4014349794034107,-0.14176999042648877,212.6704368257243,260.9412589676719,0.8508574184872936,2842.5883217138366,0.0,,228725.20636784547,2467424.3238887275,7372458.262906286,505917.2890242103,228725.20636784547
