variable,seccion,comparacion,estadistico,p_valor,significativo,efecto,interpretacion
CO₂ total evitado (directo + indirecto),descriptivos,A2C,media=2460341,,,"IC95=[2456132,2464817]","media=2,460,341 sd=15,743"
CO₂ total evitado (directo + indirecto),descriptivos,PPO,media=2462456,,,"IC95=[2458365,2466063]","media=2,462,456 sd=14,062"
CO₂ total evitado (directo + indirecto),descriptivos,SAC,media=2423996,,,"IC95=[2421292,2426253]","media=2,423,996 sd=9,111"
CO₂ total evitado (directo + indirecto),shapiro_wilk,A2C,W=0.9329,7.103e-03,NO NORMAL,,no normal → no paramétrico
CO₂ total evitado (directo + indirecto),shapiro_wilk,PPO,W=0.7946,6.583e-07,NO NORMAL,,no normal → no paramétrico
CO₂ total evitado (directo + indirecto),shapiro_wilk,SAC,W=0.7458,6.072e-08,NO NORMAL,,no normal → no paramétrico
CO₂ total evitado (directo + indirecto),kruskal_wallis,A2C vs PPO vs SAC,H=91.6220,1.272e-20,SÍ,,diferencias globales significativas
CO₂ total evitado (directo + indirecto),dunn_bonferroni,A2C vs PPO,z=-1.2913,5.898e-01,NO,,no significativo
CO₂ total evitado (directo + indirecto),dunn_bonferroni,A2C vs SAC,z=7.5681,1.136e-13,SÍ,,significativo post-hoc
CO₂ total evitado (directo + indirecto),dunn_bonferroni,PPO vs SAC,z=8.8594,2.413e-18,SÍ,,significativo post-hoc
CO₂ total evitado (directo + indirecto),mann_whitney_u,A2C > PPO,U=947,9.818e-01,NO,,equivalentes
CO₂ total evitado (directo + indirecto),mann_whitney_u,A2C > SAC,U=2462,3.360e-17,SÍ,,A2C evita MÁS CO₂ que SAC
CO₂ total evitado (directo + indirecto),mann_whitney_u,PPO > SAC,U=2417,4.432e-16,SÍ,,PPO evita MÁS CO₂ que SAC
CO₂ total evitado (directo + indirecto),wilcoxon,A2C > PPO,W=447,9.676e-01,NO,,sin diferencia pareada
CO₂ total evitado (directo + indirecto),wilcoxon,A2C > SAC,W=1275,8.882e-16,SÍ,,A2C supera SAC (pareado)
CO₂ total evitado (directo + indirecto),wilcoxon,PPO > SAC,W=1271,6.217e-15,SÍ,,PPO supera SAC (pareado)
CO₂ total evitado (directo + indirecto),cohen_d,A2C vs PPO,d=-0.1417,,,negligible,efecto negligible
CO₂ total evitado (directo + indirecto),cohen_d,A2C vs SAC,d=2.8259,,,very large,efecto very large
CO₂ total evitado (directo + indirecto),cohen_d,PPO vs SAC,d=3.2461,,,very large,efecto very large
CO₂ total evitado (directo + indirecto),cliff_delta,A2C vs PPO,δ=-0.2424,,,small,efecto small
CO₂ total evitado (directo + indirecto),cliff_delta,A2C vs SAC,δ=0.9696,,,large,efecto large
CO₂ total evitado (directo + indirecto),cliff_delta,PPO vs SAC,δ=0.9336,,,large,efecto large
CO₂ total evitado (directo + indirecto),bootstrap_ic95,A2C - PPO,diff=-2115,,NO,"IC95=[-7814,3759]",diferencia incierta
CO₂ total evitado (directo + indirecto),bootstrap_ic95,A2C - SAC,diff=36345,,SÍ (cero excluido),"IC95=[31550,41581]",diferencia real
CO₂ total evitado (directo + indirecto),bootstrap_ic95,PPO - SAC,diff=38459,,SÍ (cero excluido),"IC95=[33750,42854]",diferencia real
CO₂ directo evitado (ICE→EV transporte),descriptivos,A2C,media=217471,,,"IC95=[210401,221929]","media=217,471 sd=21,896"
CO₂ directo evitado (ICE→EV transporte),descriptivos,PPO,media=212170,,,"IC95=[203007,219208]","media=212,170 sd=29,741"
CO₂ directo evitado (ICE→EV transporte),descriptivos,SAC,media=211231,,,"IC95=[204313,216824]","media=211,231 sd=23,000"
CO₂ directo evitado (ICE→EV transporte),shapiro_wilk,A2C,W=0.3251,8.304e-14,NO NORMAL,,no normal → no paramétrico
CO₂ directo evitado (ICE→EV transporte),shapiro_wilk,PPO,W=0.4394,1.495e-12,NO NORMAL,,no normal → no paramétrico
CO₂ directo evitado (ICE→EV transporte),shapiro_wilk,SAC,W=0.3505,1.527e-13,NO NORMAL,,no normal → no paramétrico
CO₂ directo evitado (ICE→EV transporte),kruskal_wallis,A2C vs PPO vs SAC,H=42.4018,6.202e-10,SÍ,,diferencias globales significativas
CO₂ directo evitado (ICE→EV transporte),dunn_bonferroni,A2C vs PPO,z=0.9990,9.534e-01,NO,,no significativo
CO₂ directo evitado (ICE→EV transporte),dunn_bonferroni,A2C vs SAC,z=6.0720,3.790e-09,SÍ,,significativo post-hoc
CO₂ directo evitado (ICE→EV transporte),dunn_bonferroni,PPO vs SAC,z=5.0730,1.175e-06,SÍ,,significativo post-hoc
CO₂ directo evitado (ICE→EV transporte),mann_whitney_u,A2C > PPO,U=1439,9.689e-02,NO,,equivalentes
CO₂ directo evitado (ICE→EV transporte),mann_whitney_u,A2C > SAC,U=2085,4.386e-09,SÍ,,A2C evita MÁS CO₂ que SAC
CO₂ directo evitado (ICE→EV transporte),mann_whitney_u,PPO > SAC,U=2029,4.006e-08,SÍ,,PPO evita MÁS CO₂ que SAC
CO₂ directo evitado (ICE→EV transporte),wilcoxon,A2C > PPO,W=948,1.138e-03,SÍ,,A2C supera PPO (pareado)
CO₂ directo evitado (ICE→EV transporte),wilcoxon,A2C > SAC,W=1214,1.012e-10,SÍ,,A2C supera SAC (pareado)
CO₂ directo evitado (ICE→EV transporte),wilcoxon,PPO > SAC,W=916,3.263e-03,SÍ,,PPO supera SAC (pareado)
CO₂ directo evitado (ICE→EV transporte),cohen_d,A2C vs PPO,d=0.2030,,,small,efecto small
CO₂ directo evitado (ICE→EV transporte),cohen_d,A2C vs SAC,d=0.2779,,,small,efecto small
CO₂ directo evitado (ICE→EV transporte),cohen_d,PPO vs SAC,d=0.0353,,,negligible,efecto negligible
CO₂ directo evitado (ICE→EV transporte),cliff_delta,A2C vs PPO,δ=0.1512,,,small,efecto small
CO₂ directo evitado (ICE→EV transporte),cliff_delta,A2C vs SAC,δ=0.6680,,,large,efecto large
CO₂ directo evitado (ICE→EV transporte),cliff_delta,PPO vs SAC,δ=0.6232,,,large,efecto large
CO₂ directo evitado (ICE→EV transporte),bootstrap_ic95,A2C - PPO,diff=5301,,NO,"IC95=[-4608,15449]",diferencia incierta
CO₂ directo evitado (ICE→EV transporte),bootstrap_ic95,A2C - SAC,diff=6240,,NO,"IC95=[-2718,14948]",diferencia incierta
CO₂ directo evitado (ICE→EV transporte),bootstrap_ic95,PPO - SAC,diff=939,,NO,"IC95=[-9525,10883]",diferencia incierta
"CO₂ indirecto evitado (solar+BESS, grid)",descriptivos,A2C,media=2242871,,,"IC95=[2236509,2250870]","media=2,242,871 sd=26,183"
"CO₂ indirecto evitado (solar+BESS, grid)",descriptivos,PPO,media=2250286,,,"IC95=[2244826,2257342]","media=2,250,286 sd=23,413"
"CO₂ indirecto evitado (solar+BESS, grid)",descriptivos,SAC,media=2212765,,,"IC95=[2208989,2217914]","media=2,212,765 sd=16,331"
"CO₂ indirecto evitado (solar+BESS, grid)",shapiro_wilk,A2C,W=0.6997,8.176e-09,NO NORMAL,,no normal → no paramétrico
"CO₂ indirecto evitado (solar+BESS, grid)",shapiro_wilk,PPO,W=0.4923,6.584e-12,NO NORMAL,,no normal → no paramétrico
"CO₂ indirecto evitado (solar+BESS, grid)",shapiro_wilk,SAC,W=0.4977,7.723e-12,NO NORMAL,,no normal → no paramétrico
"CO₂ indirecto evitado (solar+BESS, grid)",kruskal_wallis,A2C vs PPO vs SAC,H=86.2898,1.830e-19,SÍ,,diferencias globales significativas
"CO₂ indirecto evitado (solar+BESS, grid)",dunn_bonferroni,A2C vs PPO,z=-2.1959,8.431e-02,NO,,no significativo
"CO₂ indirecto evitado (solar+BESS, grid)",dunn_bonferroni,A2C vs SAC,z=6.7188,5.497e-11,SÍ,,significativo post-hoc
"CO₂ indirecto evitado (solar+BESS, grid)",dunn_bonferroni,PPO vs SAC,z=8.9146,1.468e-18,SÍ,,significativo post-hoc
"CO₂ indirecto evitado (solar+BESS, grid)",mann_whitney_u,A2C > PPO,U=792,9.992e-01,NO,,equivalentes
"CO₂ indirecto evitado (solar+BESS, grid)",mann_whitney_u,A2C > SAC,U=2363,8.642e-15,SÍ,,A2C evita MÁS CO₂ que SAC
"CO₂ indirecto evitado (solar+BESS, grid)",mann_whitney_u,PPO > SAC,U=2401,1.084e-15,SÍ,,PPO evita MÁS CO₂ que SAC
"CO₂ indirecto evitado (solar+BESS, grid)",wilcoxon,A2C > PPO,W=320,9.991e-01,NO,,sin diferencia pareada
"CO₂ indirecto evitado (solar+BESS, grid)",wilcoxon,A2C > SAC,W=1275,8.882e-16,SÍ,,A2C supera SAC (pareado)
"CO₂ indirecto evitado (solar+BESS, grid)",wilcoxon,PPO > SAC,W=1275,8.882e-16,SÍ,,PPO supera SAC (pareado)
"CO₂ indirecto evitado (solar+BESS, grid)",cohen_d,A2C vs PPO,d=-0.2986,,,small,efecto small
"CO₂ indirecto evitado (solar+BESS, grid)",cohen_d,A2C vs SAC,d=1.3797,,,very large,efecto very large
"CO₂ indirecto evitado (solar+BESS, grid)",cohen_d,PPO vs SAC,d=1.8588,,,very large,efecto very large
"CO₂ indirecto evitado (solar+BESS, grid)",cliff_delta,A2C vs PPO,δ=-0.3664,,,medium,efecto medium
"CO₂ indirecto evitado (solar+BESS, grid)",cliff_delta,A2C vs SAC,δ=0.8904,,,large,efecto large
"CO₂ indirecto evitado (solar+BESS, grid)",cliff_delta,PPO vs SAC,δ=0.9208,,,large,efecto large
"CO₂ indirecto evitado (solar+BESS, grid)",bootstrap_ic95,A2C - PPO,diff=-7416,,NO,"IC95=[-16972,2333]",diferencia incierta
"CO₂ indirecto evitado (solar+BESS, grid)",bootstrap_ic95,A2C - SAC,diff=30105,,SÍ (cero excluido),"IC95=[21909,38851]",diferencia real
"CO₂ indirecto evitado (solar+BESS, grid)",bootstrap_ic95,PPO - SAC,diff=37521,,SÍ (cero excluido),"IC95=[30033,45633]",diferencia real
F2 residual CO₂ control (menor = mejor),descriptivos,A2C,media=3681582,,,"IC95=[3674718,3689594]","media=3,681,582 sd=27,245"
F2 residual CO₂ control (menor = mejor),descriptivos,PPO,media=3691968,,,"IC95=[3676277,3709843]","media=3,691,968 sd=61,514"
F2 residual CO₂ control (menor = mejor),descriptivos,SAC,media=3713975,,,"IC95=[3703179,3728153]","media=3,713,975 sd=46,040"
F2 residual CO₂ control (menor = mejor),shapiro_wilk,A2C,W=0.7381,4.271e-08,NO NORMAL,,no normal → no paramétrico
F2 residual CO₂ control (menor = mejor),shapiro_wilk,PPO,W=0.5734,7.992e-11,NO NORMAL,,no normal → no paramétrico
F2 residual CO₂ control (menor = mejor),shapiro_wilk,SAC,W=0.3842,3.532e-13,NO NORMAL,,no normal → no paramétrico
F2 residual CO₂ control (menor = mejor),kruskal_wallis,A2C vs PPO vs SAC,H=54.2036,1.698e-12,SÍ,,diferencias globales significativas
F2 residual CO₂ control (menor = mejor),dunn_bonferroni,A2C vs PPO,z=1.1509,7.494e-01,NO,,no significativo
F2 residual CO₂ control (menor = mejor),dunn_bonferroni,A2C vs SAC,z=-5.7221,3.156e-08,SÍ,,significativo post-hoc
F2 residual CO₂ control (menor = mejor),dunn_bonferroni,PPO vs SAC,z=-6.8730,1.886e-11,SÍ,,significativo post-hoc
F2 residual CO₂ control (menor = mejor),mann_whitney_u,A2C > PPO,U=1581,9.889e-01,NO,,equivalentes
F2 residual CO₂ control (menor = mejor),mann_whitney_u,A2C > SAC,U=257,3.902e-12,SÍ,,A2C evita MÁS CO₂ que SAC
F2 residual CO₂ control (menor = mejor),mann_whitney_u,PPO > SAC,U=419,5.162e-09,SÍ,,PPO evita MÁS CO₂ que SAC
F2 residual CO₂ control (menor = mejor),wilcoxon,A2C > PPO,W=804,9.463e-01,NO,,sin diferencia pareada
F2 residual CO₂ control (menor = mejor),wilcoxon,A2C > SAC,W=67,1.941e-10,SÍ,,A2C supera SAC (pareado)
F2 residual CO₂ control (menor = mejor),wilcoxon,PPO > SAC,W=243,3.750e-05,SÍ,,PPO supera SAC (pareado)
F2 residual CO₂ control (menor = mejor),cohen_d,A2C vs PPO,d=-0.2183,,,small,efecto small
F2 residual CO₂ control (menor = mejor),cohen_d,A2C vs SAC,d=-0.8563,,,large,efecto large
F2 residual CO₂ control (menor = mejor),cohen_d,PPO vs SAC,d=-0.4051,,,small,efecto small
F2 residual CO₂ control (menor = mejor),cliff_delta,A2C vs PPO,δ=0.2648,,,small,efecto small
F2 residual CO₂ control (menor = mejor),cliff_delta,A2C vs SAC,δ=-0.7944,,,large,efecto large
F2 residual CO₂ control (menor = mejor),cliff_delta,PPO vs SAC,δ=-0.6648,,,large,efecto large
F2 residual CO₂ control (menor = mejor),bootstrap_ic95,A2C - PPO,diff=-10387,,NO,"IC95=[-29765,7173]",diferencia incierta
F2 residual CO₂ control (menor = mejor),bootstrap_ic95,A2C - SAC,diff=-32394,,SÍ (cero excluido),"IC95=[-47458,-18685]",diferencia real
F2 residual CO₂ control (menor = mejor),bootstrap_ic95,PPO - SAC,diff=-22007,,SÍ (cero excluido),"IC95=[-42913,-674]",diferencia real
Reduccion CO₂ respecto F0 (%),descriptivos,A2C,media=39,,,"IC95=[38,39]",media=39 sd=0
Reduccion CO₂ respecto F0 (%),descriptivos,PPO,media=38,,,"IC95=[38,39]",media=38 sd=1
Reduccion CO₂ respecto F0 (%),descriptivos,SAC,media=38,,,"IC95=[38,38]",media=38 sd=1
Reduccion CO₂ respecto F0 (%),shapiro_wilk,A2C,W=0.7431,5.359e-08,NO NORMAL,,no normal → no paramétrico
Reduccion CO₂ respecto F0 (%),shapiro_wilk,PPO,W=0.5703,7.235e-11,NO NORMAL,,no normal → no paramétrico
Reduccion CO₂ respecto F0 (%),shapiro_wilk,SAC,W=0.3890,3.983e-13,NO NORMAL,,no normal → no paramétrico
Reduccion CO₂ respecto F0 (%),kruskal_wallis,A2C vs PPO vs SAC,H=53.0109,3.082e-12,SÍ,,diferencias globales significativas
Reduccion CO₂ respecto F0 (%),dunn_bonferroni,A2C vs PPO,z=-1.0818,8.380e-01,NO,,no significativo
Reduccion CO₂ respecto F0 (%),dunn_bonferroni,A2C vs SAC,z=5.6945,3.712e-08,SÍ,,significativo post-hoc
Reduccion CO₂ respecto F0 (%),dunn_bonferroni,PPO vs SAC,z=6.7763,3.698e-11,SÍ,,significativo post-hoc
Reduccion CO₂ respecto F0 (%),mann_whitney_u,A2C > PPO,U=943,9.830e-01,NO,,equivalentes
Reduccion CO₂ respecto F0 (%),mann_whitney_u,A2C > SAC,U=2225,9.210e-12,SÍ,,A2C evita MÁS CO₂ que SAC
Reduccion CO₂ respecto F0 (%),mann_whitney_u,PPO > SAC,U=2081,5.162e-09,SÍ,,PPO evita MÁS CO₂ que SAC
Reduccion CO₂ respecto F0 (%),wilcoxon,A2C > PPO,W=469,9.484e-01,NO,,sin diferencia pareada
Reduccion CO₂ respecto F0 (%),wilcoxon,A2C > SAC,W=1205,2.659e-10,SÍ,,A2C supera SAC (pareado)
Reduccion CO₂ respecto F0 (%),wilcoxon,PPO > SAC,W=1033,3.578e-05,SÍ,,PPO supera SAC (pareado)
Reduccion CO₂ respecto F0 (%),cohen_d,A2C vs PPO,d=0.2243,,,small,efecto small
Reduccion CO₂ respecto F0 (%),cohen_d,A2C vs SAC,d=0.8567,,,large,efecto large
Reduccion CO₂ respecto F0 (%),cohen_d,PPO vs SAC,d=0.4002,,,small,efecto small
Reduccion CO₂ respecto F0 (%),cliff_delta,A2C vs PPO,δ=-0.2456,,,small,efecto small
Reduccion CO₂ respecto F0 (%),cliff_delta,A2C vs SAC,δ=0.7800,,,large,efecto large
Reduccion CO₂ respecto F0 (%),cliff_delta,PPO vs SAC,δ=0.6648,,,large,efecto large
Reduccion CO₂ respecto F0 (%),bootstrap_ic95,A2C - PPO,diff=0,,NO,"IC95=[-0,1]",diferencia incierta
Reduccion CO₂ respecto F0 (%),bootstrap_ic95,A2C - SAC,diff=1,,SÍ (cero excluido),"IC95=[0,1]",diferencia real
Reduccion CO₂ respecto F0 (%),bootstrap_ic95,PPO - SAC,diff=0,,SÍ (cero excluido),"IC95=[0,1]",diferencia real
Carga EV total (motos + mototaxis),descriptivos,A2C,media=265101,,,"IC95=[256691,270786]","media=265,101 sd=27,063"
Carga EV total (motos + mototaxis),descriptivos,PPO,media=258134,,,"IC95=[247018,266997]","media=258,134 sd=37,022"
Carga EV total (motos + mototaxis),descriptivos,SAC,media=256686,,,"IC95=[247971,263534]","media=256,686 sd=27,994"
Carga EV total (motos + mototaxis),shapiro_wilk,A2C,W=0.3376,1.117e-13,NO NORMAL,,no normal → no paramétrico
Carga EV total (motos + mototaxis),shapiro_wilk,PPO,W=0.4576,2.465e-12,NO NORMAL,,no normal → no paramétrico
Carga EV total (motos + mototaxis),shapiro_wilk,SAC,W=0.3504,1.525e-13,NO NORMAL,,no normal → no paramétrico
Carga EV total (motos + mototaxis),kruskal_wallis,A2C vs PPO vs SAC,H=45.4130,1.376e-10,SÍ,,diferencias globales significativas
Carga EV total (motos + mototaxis),dunn_bonferroni,A2C vs PPO,z=1.1624,7.352e-01,NO,,no significativo
Carga EV total (motos + mototaxis),dunn_bonferroni,A2C vs SAC,z=6.3298,7.365e-10,SÍ,,significativo post-hoc
Carga EV total (motos + mototaxis),dunn_bonferroni,PPO vs SAC,z=5.1674,7.121e-07,SÍ,,significativo post-hoc
Carga EV total (motos + mototaxis),mann_whitney_u,A2C > PPO,U=1463,7.147e-02,NO,,equivalentes
Carga EV total (motos + mototaxis),mann_whitney_u,A2C > SAC,U=2122,9.393e-10,SÍ,,A2C evita MÁS CO₂ que SAC
Carga EV total (motos + mototaxis),mann_whitney_u,PPO > SAC,U=2043,2.336e-08,SÍ,,PPO evita MÁS CO₂ que SAC
Carga EV total (motos + mototaxis),wilcoxon,A2C > PPO,W=963,6.652e-04,SÍ,,A2C supera PPO (pareado)
Carga EV total (motos + mototaxis),wilcoxon,A2C > SAC,W=1217,7.216e-11,SÍ,,A2C supera SAC (pareado)
Carga EV total (motos + mototaxis),wilcoxon,PPO > SAC,W=898,5.600e-03,SÍ,,PPO supera SAC (pareado)
Carga EV total (motos + mototaxis),cohen_d,A2C vs PPO,d=0.2149,,,small,efecto small
Carga EV total (motos + mototaxis),cohen_d,A2C vs SAC,d=0.3057,,,small,efecto small
Carga EV total (motos + mototaxis),cohen_d,PPO vs SAC,d=0.0441,,,negligible,efecto negligible
Carga EV total (motos + mototaxis),cliff_delta,A2C vs PPO,δ=0.1704,,,small,efecto small
Carga EV total (motos + mototaxis),cliff_delta,A2C vs SAC,δ=0.6976,,,large,efecto large
Carga EV total (motos + mototaxis),cliff_delta,PPO vs SAC,δ=0.6344,,,large,efecto large
Carga EV total (motos + mototaxis),bootstrap_ic95,A2C - PPO,diff=6967,,NO,"IC95=[-5287,19567]",diferencia incierta
Carga EV total (motos + mototaxis),bootstrap_ic95,A2C - SAC,diff=8416,,NO,"IC95=[-2569,18840]",diferencia incierta
Carga EV total (motos + mototaxis),bootstrap_ic95,PPO - SAC,diff=1448,,NO,"IC95=[-11678,13556]",diferencia incierta
Carga motos (270 motos/dia),descriptivos,A2C,media=225200,,,"IC95=[217950,229552]","media=225,200 sd=22,174"
Carga motos (270 motos/dia),descriptivos,PPO,media=220538,,,"IC95=[211521,227528]","media=220,538 sd=29,721"
Carga motos (270 motos/dia),descriptivos,SAC,media=220063,,,"IC95=[212793,225910]","media=220,063 sd=23,907"
Carga motos (270 motos/dia),shapiro_wilk,A2C,W=0.3009,4.708e-14,NO NORMAL,,no normal → no paramétrico
Carga motos (270 motos/dia),shapiro_wilk,PPO,W=0.4022,5.590e-13,NO NORMAL,,no normal → no paramétrico
Carga motos (270 motos/dia),shapiro_wilk,SAC,W=0.3534,1.641e-13,NO NORMAL,,no normal → no paramétrico
Carga motos (270 motos/dia),kruskal_wallis,A2C vs PPO vs SAC,H=30.5428,2.332e-07,SÍ,,diferencias globales significativas
Carga motos (270 motos/dia),dunn_bonferroni,A2C vs PPO,z=0.7619,1.000e+00,NO,,no significativo
Carga motos (270 motos/dia),dunn_bonferroni,A2C vs SAC,z=5.1214,9.099e-07,SÍ,,significativo post-hoc
Carga motos (270 motos/dia),dunn_bonferroni,PPO vs SAC,z=4.3595,3.911e-05,SÍ,,significativo post-hoc
Carga motos (270 motos/dia),mann_whitney_u,A2C > PPO,U=1386,1.751e-01,NO,,equivalentes
Carga motos (270 motos/dia),mann_whitney_u,A2C > SAC,U=1966,4.059e-07,SÍ,,A2C evita MÁS CO₂ que SAC
Carga motos (270 motos/dia),mann_whitney_u,PPO > SAC,U=1907,3.008e-06,SÍ,,PPO evita MÁS CO₂ que SAC
Carga motos (270 motos/dia),wilcoxon,A2C > PPO,W=862,1.486e-02,SÍ,,A2C supera PPO (pareado)
Carga motos (270 motos/dia),wilcoxon,A2C > SAC,W=1157,1.959e-08,SÍ,,A2C supera SAC (pareado)
Carga motos (270 motos/dia),wilcoxon,PPO > SAC,W=920,2.879e-03,SÍ,,PPO supera SAC (pareado)
Carga motos (270 motos/dia),cohen_d,A2C vs PPO,d=0.1778,,,negligible,efecto negligible
Carga motos (270 motos/dia),cohen_d,A2C vs SAC,d=0.2228,,,small,efecto small
Carga motos (270 motos/dia),cohen_d,PPO vs SAC,d=0.0176,,,negligible,efecto negligible
Carga motos (270 motos/dia),cliff_delta,A2C vs PPO,δ=0.1088,,,negligible,efecto negligible
Carga motos (270 motos/dia),cliff_delta,A2C vs SAC,δ=0.5728,,,large,efecto large
Carga motos (270 motos/dia),cliff_delta,PPO vs SAC,δ=0.5256,,,large,efecto large
Carga motos (270 motos/dia),bootstrap_ic95,A2C - PPO,diff=4662,,NO,"IC95=[-5605,14862]",diferencia incierta
Carga motos (270 motos/dia),bootstrap_ic95,A2C - SAC,diff=5137,,NO,"IC95=[-3791,14144]",diferencia incierta
Carga motos (270 motos/dia),bootstrap_ic95,PPO - SAC,diff=475,,NO,"IC95=[-10572,10782]",diferencia incierta
Carga mototaxis (39 mototaxis/dia),descriptivos,A2C,media=39902,,,"IC95=[38170,41293]","media=39,902 sd=5,705"
Carga mototaxis (39 mototaxis/dia),descriptivos,PPO,media=37596,,,"IC95=[35166,39827]","media=37,596 sd=8,535"
Carga mototaxis (39 mototaxis/dia),descriptivos,SAC,media=36623,,,"IC95=[35338,37645]","media=36,623 sd=4,279"
Carga mototaxis (39 mototaxis/dia),shapiro_wilk,A2C,W=0.4577,2.471e-12,NO NORMAL,,no normal → no paramétrico
Carga mototaxis (39 mototaxis/dia),shapiro_wilk,PPO,W=0.5867,1.241e-10,NO NORMAL,,no normal → no paramétrico
Carga mototaxis (39 mototaxis/dia),shapiro_wilk,SAC,W=0.4666,3.165e-12,NO NORMAL,,no normal → no paramétrico
Carga mototaxis (39 mototaxis/dia),kruskal_wallis,A2C vs PPO vs SAC,H=47.1707,5.715e-11,SÍ,,diferencias globales significativas
Carga mototaxis (39 mototaxis/dia),dunn_bonferroni,A2C vs PPO,z=1.5721,3.478e-01,NO,,no significativo
Carga mototaxis (39 mototaxis/dia),dunn_bonferroni,A2C vs SAC,z=6.5761,1.449e-10,SÍ,,significativo post-hoc
Carga mototaxis (39 mototaxis/dia),dunn_bonferroni,PPO vs SAC,z=5.0040,1.685e-06,SÍ,,significativo post-hoc
Carga mototaxis (39 mototaxis/dia),mann_whitney_u,A2C > PPO,U=1485,5.298e-02,NO,,equivalentes
Carga mototaxis (39 mototaxis/dia),mann_whitney_u,A2C > SAC,U=2195,3.727e-11,SÍ,,A2C evita MÁS CO₂ que SAC
Carga mototaxis (39 mototaxis/dia),mann_whitney_u,PPO > SAC,U=1982,2.293e-07,SÍ,,PPO evita MÁS CO₂ que SAC
Carga mototaxis (39 mototaxis/dia),wilcoxon,A2C > PPO,W=994,1.993e-04,SÍ,,A2C supera PPO (pareado)
Carga mototaxis (39 mototaxis/dia),wilcoxon,A2C > SAC,W=1155,2.289e-08,SÍ,,A2C supera SAC (pareado)
Carga mototaxis (39 mototaxis/dia),wilcoxon,PPO > SAC,W=855,1.770e-02,SÍ,,PPO supera SAC (pareado)
Carga mototaxis (39 mototaxis/dia),cohen_d,A2C vs PPO,d=0.3176,,,small,efecto small
Carga mototaxis (39 mototaxis/dia),cohen_d,A2C vs SAC,d=0.6502,,,medium,efecto medium
Carga mototaxis (39 mototaxis/dia),cohen_d,PPO vs SAC,d=0.1442,,,negligible,efecto negligible
