datetime,ac_energy_kwh
2024-09-21 00:00:00-05:00,24656.956719515856
2024-09-22 00:00:00-05:00,25031.894833857186
2024-09-23 00:00:00-05:00,21100.205442839397
2024-09-24 00:00:00-05:00,19025.73706541968
2024-09-25 00:00:00-05:00,25921.912569800064
2024-09-26 00:00:00-05:00,24229.470921409807
2024-09-27 00:00:00-05:00,24018.834130691528
2024-09-28 00:00:00-05:00,23489.7534244022
2024-09-29 00:00:00-05:00,20742.001221356455
2024-09-30 00:00:00-05:00,26211.840118069682
2024-10-01 00:00:00-05:00,26227.44765812054
2024-10-02 00:00:00-05:00,25024.45003178526
2024-10-03 00:00:00-05:00,25510.72555762806
2024-10-04 00:00:00-05:00,23475.254222242194
2024-10-05 00:00:00-05:00,26178.4924502724
2024-10-06 00:00:00-05:00,24397.037609192175
2024-10-07 00:00:00-05:00,21588.818052153423
2024-10-08 00:00:00-05:00,20647.704316510823
2024-10-09 00:00:00-05:00,25195.10975605167
2024-10-10 00:00:00-05:00,25906.779934501086
2024-10-11 00:00:00-05:00,26177.174642939055
2024-10-12 00:00:00-05:00,25298.085331507085
2024-10-13 00:00:00-05:00,20970.658383919617
2024-10-14 00:00:00-05:00,25655.008668391558
2024-10-15 00:00:00-05:00,22813.39238315222
2024-10-16 00:00:00-05:00,20508.714111381036
2024-10-17 00:00:00-05:00,22131.93673633314
2024-10-18 00:00:00-05:00,25365.074535481457
2024-10-19 00:00:00-05:00,24905.00845276957
2024-10-20 00:00:00-05:00,23219.909016332473
2024-10-21 00:00:00-05:00,23587.19657056116
2024-10-22 00:00:00-05:00,21743.676953729286
2024-10-23 00:00:00-05:00,25471.605961909634
2024-10-24 00:00:00-05:00,25128.76703726708
2024-10-25 00:00:00-05:00,24389.0403030386
2024-10-26 00:00:00-05:00,24250.17906101708
2024-10-27 00:00:00-05:00,24985.298266115988
2024-10-28 00:00:00-05:00,23654.234379984024
2024-10-29 00:00:00-05:00,22834.053159819825
2024-10-30 00:00:00-05:00,24831.954066303875
2024-10-31 00:00:00-05:00,19801.532760383892
2024-11-01 00:00:00-05:00,25609.94653482422
2024-11-02 00:00:00-05:00,24587.60599712744
2024-11-03 00:00:00-05:00,23437.48989755507
2024-11-04 00:00:00-05:00,21932.746156099784
2024-11-05 00:00:00-05:00,22615.991915288392
2024-11-06 00:00:00-05:00,21976.904887851542
2024-11-07 00:00:00-05:00,20509.161645350825
2024-11-08 00:00:00-05:00,21529.56558292888
2024-11-09 00:00:00-05:00,25275.918020756082
2024-11-10 00:00:00-05:00,23055.469280051722
2024-11-11 00:00:00-05:00,19966.040145932384
2024-11-12 00:00:00-05:00,22729.387152329167
2024-11-13 00:00:00-05:00,23594.718218718328
2024-11-14 00:00:00-05:00,24483.723675608493
2024-11-15 00:00:00-05:00,24611.655778630302
2024-11-16 00:00:00-05:00,24532.44267303251
2024-11-17 00:00:00-05:00,24328.26918030083
2024-11-18 00:00:00-05:00,18358.81529929773
2024-11-19 00:00:00-05:00,20611.148376549045
2024-11-20 00:00:00-05:00,25034.195846123752
2024-11-21 00:00:00-05:00,25420.04419963
2024-11-22 00:00:00-05:00,23715.84572087542
2024-11-23 00:00:00-05:00,19852.614165845025
2024-11-24 00:00:00-05:00,19974.139352581093
2024-11-25 00:00:00-05:00,22683.86693469447
2024-11-26 00:00:00-05:00,22920.312438007866
2024-11-27 00:00:00-05:00,24334.347063732566
2024-11-28 00:00:00-05:00,22279.864493901052
2024-11-29 00:00:00-05:00,22028.023922754386
2024-11-30 00:00:00-05:00,17253.805834778203
2024-12-01 00:00:00-05:00,25094.589187000103
2024-12-02 00:00:00-05:00,23358.79651570644
2024-12-03 00:00:00-05:00,25500.84197303665
2024-12-04 00:00:00-05:00,25778.98105408329
2024-12-05 00:00:00-05:00,24796.65160526246
2024-12-06 00:00:00-05:00,22752.699081064544
2024-12-07 00:00:00-05:00,19610.224687736398
2024-12-08 00:00:00-05:00,22027.279258053593
2024-12-09 00:00:00-05:00,24717.740961146435
2024-12-10 00:00:00-05:00,25109.465560685407
2024-12-11 00:00:00-05:00,25073.61802253826
2024-12-12 00:00:00-05:00,21720.785340743354
2024-12-13 00:00:00-05:00,23182.43883085452
2024-12-14 00:00:00-05:00,24987.588083822364
2024-12-15 00:00:00-05:00,22880.536818478147
