pv_kwh,ev_kwh,mall_kwh,load_kwh,pv_to_ev_kwh,pv_to_bess_kwh,pv_to_mall_kwh,grid_export_kwh,bess_action_kwh,bess_mode,bess_to_ev_kwh,bess_to_mall_kwh,grid_import_ev_kwh,grid_import_mall_kwh,grid_import_kwh,soc_percent,soc_kwh,co2_avoided_indirect_kg,tariff_period,tariff_rate_soles_kwh,cost_if_grid_import_soles,cost_avoided_by_bess_soles,cost_savings_hp_soles,cost_savings_hfp_soles,tariff_index_hp_hfp,ev_demand_after_bess_kwh,mall_demand_after_bess_kwh,load_after_bess_kwh,bess_energy_stored_hourly_kwh,bess_energy_delivered_hourly_kwh,bess_balance_error_hourly_kwh,bess_balance_error_hourly_percent,bess_validation_status_hourly
0.0,0.0,588,588.0,0.0,0.0,0.0,0.0,0.0,idle,0.0,0.0,0.0,588.0,588.0,20.0,400.0,0.0,HFP,0.28,164.64000000000001,0.0,0.0,0.0,1.0,0.0,588.0,588.0,0.0,0.0,0.0,0.0,OK
0.0,0.0,567,567.0,0.0,0.0,0.0,0.0,0.0,idle,0.0,0.0,0.0,567.0,567.0,20.0,400.0,0.0,HFP,0.28,158.76000000000002,0.0,0.0,0.0,1.0,0.0,567.0,567.0,0.0,0.0,0.0,0.0,OK
68.20770202924705,0.0,684,684.0,0.0,0.0,0.0,0.0,0.0,idle,0.0,0.0,0.0,684.0,684.0,20.0,400.0,0.0,HFP,0.28,191.52,0.0,0.0,0.0,1.0,0.0,684.0,684.0,0.0,0.0,0.0,0.0,OK
298.49403324612945,0.0,800,800.0,0.0,0.0,0.0,0.0,0.0,idle,0.0,0.0,0.0,800.0,800.0,20.0,400.0,0.0,HFP,0.28,224.00000000000003,0.0,0.0,0.0,1.0,0.0,800.0,800.0,0.0,0.0,0.0,0.0,OK
980.999339150895,0.0,1168,1168.0,0.0,0.0,0.0,0.0,0.0,idle,0.0,0.0,0.0,587.000660849105,587.000660849105,20.0,400.0,0.0,HFP,0.28,327.04,0.0,0.0,0.0,1.0,0.0,1168.0,1168.0,0.0,0.0,0.0,0.0,OK
2079.424659559644,18.352,1412,1430.352,18.352,389.8717737923585,1412.0,249.0726595596443,400.0,charge,0.0,0.0,0.0,0.0,0.0,39.49358868961792,789.8717737923586,0.0,HFP,0.28,400.49856000000005,0.0,0.0,109.1640966618604,1.0,18.352,1412.0,1430.352,389.8717737923585,0.0,-389.8717737923585,100.0,CRITICAL
2886.689477778584,32.116,2028,2060.116,32.116,389.8717737923585,2028.0,426.5734777785842,400.0,charge,0.0,0.0,0.0,0.0,0.0,58.987177379235845,1179.743547584717,0.0,HFP,0.28,576.83248,0.0,0.0,109.1640966618604,1.0,32.116,2028.0,2060.116,389.8717737923585,0.0,-389.8717737923585,100.0,CRITICAL
2886.689477778584,59.644000000000005,2459,2518.6440000000002,59.644000000000005,389.8717737923585,2427.0454777785844,0.0,400.0,charge,0.0,0.0,0.0,31.954522221415573,31.954522221415573,78.48076606885377,1569.6153213770754,0.0,HFP,0.28,705.2203200000001,0.0,0.0,109.1640966618604,1.0,59.644000000000005,2459.0,2518.6440000000002,389.8717737923585,0.0,-389.8717737923585,100.0,CRITICAL
2886.689477778584,59.644000000000005,2514,2573.6440000000002,59.644000000000005,389.8717737923585,2427.0454777785844,0.0,400.0,charge,0.0,0.0,0.0,86.95452222141557,86.95452222141557,97.97435475847169,1959.4870951694338,0.0,HFP,0.28,720.6203200000001,0.0,0.0,109.1640966618604,1.0,59.644000000000005,2514.0,2573.6440000000002,389.8717737923585,0.0,-389.8717737923585,100.0,CRITICAL
1558.8509539256966,110.11199999999994,2546,2656.112,110.11199999999994,40.51290483056613,1407.1735905894498,0.0,41.56536333624692,charge,0.0,0.0,0.0,1138.8264094105502,1138.8264094105502,100.0,2000.0,0.0,HFP,0.28,743.7113600000001,0.0,0.0,11.343613352558517,1.0,110.11199999999994,2546.0,2656.112,40.51290483056613,0.0,-40.51290483056613,100.0,CRITICAL
