hour,solar_kw,bess_soc_percent,mall_load_kw
137,2024-01-06 17:00:00-05:00,2024-01-06 17:00:00,06/01/2024 17:00;2442
138,2024-01-06 18:00:00-05:00,2024-01-06 18:00:00,06/01/2024 18:00;2391
139,2024-01-06 19:00:00-05:00,2024-01-06 19:00:00,06/01/2024 19:00;2302
140,2024-01-06 20:00:00-05:00,2024-01-06 20:00:00,06/01/2024 20:00;2274
141,2024-01-06 21:00:00-05:00,2024-01-06 21:00:00,06/01/2024 21:00;2100
142,2024-01-06 22:00:00-05:00,2024-01-06 22:00:00,06/01/2024 22:00;1265
143,2024-01-06 23:00:00-05:00,2024-01-06 23:00:00,06/01/2024 23:00;769
144,2024-01-07 00:00:00-05:00,2024-01-07 00:00:00,07/01/2024 00:00;642
145,2024-01-07 01:00:00-05:00,2024-01-07 01:00:00,07/01/2024 01:00;583
146,2024-01-07 02:00:00-05:00,2024-01-07 02:00:00,07/01/2024 02:00;585
147,2024-01-07 03:00:00-05:00,2024-01-07 03:00:00,07/01/2024 03:00;573
148,2024-01-07 04:00:00-05:00,2024-01-07 04:00:00,07/01/2024 04:00;577
149,2024-01-07 05:00:00-05:00,2024-01-07 05:00:00,07/01/2024 05:00;543
150,2024-01-07 06:00:00-05:00,2024-01-07 06:00:00,07/01/2024 06:00;570
151,2024-01-07 07:00:00-05:00,2024-01-07 07:00:00,07/01/2024 07:00;614
152,2024-01-07 08:00:00-05:00,2024-01-07 08:00:00,07/01/2024 08:00;756
153,2024-01-07 09:00:00-05:00,2024-01-07 09:00:00,07/01/2024 09:00;1189
154,2024-01-07 10:00:00-05:00,2024-01-07 10:00:00,07/01/2024 10:00;1996
155,2024-01-07 11:00:00-05:00,2024-01-07 11:00:00,07/01/2024 11:00;2484
156,2024-01-07 12:00:00-05:00,2024-01-07 12:00:00,07/01/2024 12:00;2465
157,2024-01-07 13:00:00-05:00,2024-01-07 13:00:00,07/01/2024 13:00;2486
158,2024-01-07 14:00:00-05:00,2024-01-07 14:00:00,07/01/2024 14:00;2268
159,2024-01-07 15:00:00-05:00,2024-01-07 15:00:00,07/01/2024 15:00;2215
160,2024-01-07 16:00:00-05:00,2024-01-07 16:00:00,07/01/2024 16:00;2174
161,2024-01-07 17:00:00-05:00,2024-01-07 17:00:00,07/01/2024 17:00;2132
162,2024-01-07 18:00:00-05:00,2024-01-07 18:00:00,07/01/2024 18:00;2137
163,2024-01-07 19:00:00-05:00,2024-01-07 19:00:00,07/01/2024 19:00;2137
164,2024-01-07 20:00:00-05:00,2024-01-07 20:00:00,07/01/2024 20:00;2048
165,2024-01-07 21:00:00-05:00,2024-01-07 21:00:00,07/01/2024 21:00;1896
166,2024-01-07 22:00:00-05:00,2024-01-07 22:00:00,07/01/2024 22:00;1047
167,2024-01-07 23:00:00-05:00,2024-01-07 23:00:00,07/01/2024 23:00;676
168,2024-01-08 00:00:00-05:00,2024-01-08 00:00:00,08/01/2024 00:00;594
169,2024-01-08 01:00:00-05:00,2024-01-08 01:00:00,08/01/2024 01:00;546
170,2024-01-08 02:00:00-05:00,2024-01-08 02:00:00,08/01/2024 02:00;553
171,2024-01-08 03:00:00-05:00,2024-01-08 03:00:00,08/01/2024 03:00;526
172,2024-01-08 04:00:00-05:00,2024-01-08 04:00:00,08/01/2024 04:00;525
173,2024-01-08 05:00:00-05:00,2024-01-08 05:00:00,08/01/2024 05:00;502
174,2024-01-08 06:00:00-05:00,2024-01-08 06:00:00,08/01/2024 06:00;577
175,2024-01-08 07:00:00-05:00,2024-01-08 07:00:00,08/01/2024 07:00;753
176,2024-01-08 08:00:00-05:00,2024-01-08 08:00:00,08/01/2024 08:00;1014
177,2024-01-08 09:00:00-05:00,2024-01-08 09:00:00,08/01/2024 09:00;1174
178,2024-01-08 10:00:00-05:00,2024-01-08 10:00:00,08/01/2024 10:00;1783
179,2024-01-08 11:00:00-05:00,2024-01-08 11:00:00,08/01/2024 11:00;2198
180,2024-01-08 12:00:00-05:00,2024-01-08 12:00:00,08/01/2024 12:00;2230
181,2024-01-08 13:00:00-05:00,2024-01-08 13:00:00,08/01/2024 13:00;2243
182,2024-01-08 14:00:00-05:00,2024-01-08 14:00:00,08/01/2024 14:00;2291
183,2024-01-08 15:00:00-05:00,2024-01-08 15:00:00,08/01/2024 15:00;2350
184,2024-01-08 16:00:00-05:00,2024-01-08 16:00:00,08/01/2024 16:00;2220
185,2024-01-08 17:00:00-05:00,2024-01-08 17:00:00,08/01/2024 17:00;2109
186,2024-01-08 18:00:00-05:00,2024-01-08 18:00:00,08/01/2024 18:00;2069
187,2024-01-08 19:00:00-05:00,2024-01-08 19:00:00,08/01/2024 19:00;2043
188,2024-01-08 20:00:00-05:00,2024-01-08 20:00:00,08/01/2024 20:00;2000
189,2024-01-08 21:00:00-05:00,2024-01-08 21:00:00,08/01/2024 21:00;1828
190,2024-01-08 22:00:00-05:00,2024-01-08 22:00:00,08/01/2024 22:00;1141
191,2024-01-08 23:00:00-05:00,2024-01-08 23:00:00,08/01/2024 23:00;693
192,2024-01-09 00:00:00-05:00,2024-01-09 00:00:00,09/01/2024 00:00;619
193,2024-01-09 01:00:00-05:00,2024-01-09 01:00:00,09/01/2024 01:00;591
194,2024-01-09 02:00:00-05:00,2024-01-09 02:00:00,09/01/2024 02:00;591
195,2024-01-09 03:00:00-05:00,2024-01-09 03:00:00,09/01/2024 03:00;570
196,2024-01-09 04:00:00-05:00,2024-01-09 04:00:00,09/01/2024 04:00;546
197,2024-01-09 05:00:00-05:00,2024-01-09 05:00:00,09/01/2024 05:00;546
198,2024-01-09 06:00:00-05:00,2024-01-09 06:00:00,09/01/2024 06:00;615
199,2024-01-09 07:00:00-05:00,2024-01-09 07:00:00,09/01/2024 07:00;763
200,2024-01-09 08:00:00-05:00,2024-01-09 08:00:00,09/01/2024 08:00;968
201,2024-01-09 09:00:00-05:00,2024-01-09 09:00:00,09/01/2024 09:00;1069
202,2024-01-09 10:00:00-05:00,2024-01-09 10:00:00,09/01/2024 10:00;1659
203,2024-01-09 11:00:00-05:00,2024-01-09 11:00:00,09/01/2024 11:00;2089
204,2024-01-09 12:00:00-05:00,2024-01-09 12:00:00,09/01/2024 12:00;2171
205,2024-01-09 13:00:00-05:00,2024-01-09 13:00:00,09/01/2024 13:00;2154
206,2024-01-09 14:00:00-05:00,2024-01-09 14:00:00,09/01/2024 14:00;2191
207,2024-01-09 15:00:00-05:00,2024-01-09 15:00:00,09/01/2024 15:00;2250
208,2024-01-09 16:00:00-05:00,2024-01-09 16:00:00,09/01/2024 16:00;2256
209,2024-01-09 17:00:00-05:00,2024-01-09 17:00:00,09/01/2024 17:00;2212
210,2024-01-09 18:00:00-05:00,2024-01-09 18:00:00,09/01/2024 18:00;2215
211,2024-01-09 19:00:00-05:00,2024-01-09 19:00:00,09/01/2024 19:00;2179
212,2024-01-09 20:00:00-05:00,2024-01-09 20:00:00,09/01/2024 20:00;2154
213,2024-01-09 21:00:00-05:00,2024-01-09 21:00:00,09/01/2024 21:00;1928
214,2024-01-09 22:00:00-05:00,2024-01-09 22:00:00,09/01/2024 22:00;1136
215,2024-01-09 23:00:00-05:00,2024-01-09 23:00:00,09/01/2024 23:00;694
