outdoor_dry_bulb_temperature,outdoor_relative_humidity,diffuse_solar_irradiance,direct_solar_irradiance,outdoor_dry_bulb_temperature_predicted_1,outdoor_dry_bulb_temperature_predicted_2,outdoor_dry_bulb_temperature_predicted_3,outdoor_relative_humidity_predicted_1,outdoor_relative_humidity_predicted_2,outdoor_relative_humidity_predicted_3,diffuse_solar_irradiance_predicted_1,diffuse_solar_irradiance_predicted_2,diffuse_solar_irradiance_predicted_3,direct_solar_irradiance_predicted_1,direct_solar_irradiance_predicted_2,direct_solar_irradiance_predicted_3
25.63,82.0,95.354996,116.545,27.56,25.01,27.47,82.0,82.0,82.0,34.9875,0.0,225.5625,42.7625,0.0,275.6875
25.34,82.0,260.145,317.955,26.67,24.79,27.79,82.0,82.0,82.0,0.089999996,0.0,245.205,0.11000001,0.0,299.695
26.81,82.0,262.1025,320.3475,26.43,24.21,28.23,82.0,82.0,82.0,0.0,0.0,271.88998,0.0,0.0,332.31003
27.88,82.0,272.0025,332.4475,26.14,24.16,28.87,82.0,82.0,82.0,0.0,0.0,216.2025,0.0,0.0,264.2475
28.45,82.0,203.04,248.16002,25.66,24.03,28.12,82.0,82.0,82.0,0.0,0.0,193.88249,0.0,0.0,236.96751
28.33,82.0,102.91499,125.785,25.32,24.06,27.6,82.0,82.0,82.0,0.0,0.0,89.05499,0.0,0.0,108.845
27.56,82.0,34.9875,42.7625,25.01,24.1,26.24,82.0,82.0,82.0,0.0,0.0,30.262499,0.0,0.0,36.9875
26.67,82.0,0.089999996,0.11000001,24.79,24.13,25.56,82.0,82.0,82.0,0.0,12.1725,0.089999996,0.0,14.8775,0.11000001
26.43,82.0,0.0,0.0,24.21,24.75,25.39,82.0,82.0,82.0,0.0,68.80499,0.0,0.0,84.095,0.0
26.14,82.0,0.0,0.0,24.16,25.31,24.92,82.0,82.0,82.0,0.0,135.8775,0.0,0.0,166.07251,0.0
25.66,82.0,0.0,0.0,24.03,26.15,24.75,82.0,82.0,82.0,0.0,235.79999,0.0,0.0,288.2,0.0
25.32,82.0,0.0,0.0,24.06,27.14,24.56,82.0,82.0,82.0,0.0,252.67499,0.0,0.0,308.825,0.0
25.01,82.0,0.0,0.0,24.1,27.47,24.48,82.0,82.0,82.0,0.0,225.5625,0.0,0.0,275.6875,0.0
24.79,82.0,0.0,0.0,24.13,27.79,24.31,82.0,82.0,82.0,12.1725,245.205,0.0,14.8775,299.695,0.0
24.21,82.0,0.0,0.0,24.75,28.23,24.22,82.0,82.0,82.0,68.80499,271.88998,0.0,84.095,332.31003,0.0
24.16,82.0,0.0,0.0,25.31,28.87,24.17,82.0,82.0,82.0,135.8775,216.2025,0.0,166.07251,264.2475,0.0
24.03,82.0,0.0,0.0,26.15,28.12,24.02,82.0,82.0,82.0,235.79999,193.88249,0.0,288.2,236.96751,0.0
24.06,82.0,0.0,0.0,27.14,27.6,23.91,82.0,82.0,82.0,252.67499,89.05499,0.0,308.825,108.845,0.0
24.1,82.0,0.0,0.0,27.47,26.24,23.89,82.0,82.0,82.0,225.5625,30.262499,0.0,275.6875,36.9875,0.0
24.13,82.0,12.1725,14.8775,27.79,25.56,23.95,82.0,82.0,82.0,245.205,0.089999996,9.405,299.695,0.11000001,11.495
24.75,82.0,68.80499,84.095,28.23,25.39,24.29,82.0,82.0,82.0,271.88998,0.0,47.8125,332.31003,0.0,58.4375
25.31,82.0,135.8775,166.07251,28.87,24.92,24.97,82.0,82.0,82.0,216.2025,0.0,135.35999,264.2475,0.0,165.44
26.15,82.0,235.79999,288.2,28.12,24.75,25.97,82.0,82.0,82.0,193.88249,0.0,222.81749,236.96751,0.0,272.3325
27.14,82.0,252.67499,308.825,27.6,24.56,26.76,82.0,82.0,82.0,89.05499,0.0,309.7125,108.845,0.0,378.5375
27.47,82.0,225.5625,275.6875,26.24,24.48,28.32,82.0,82.0,82.0,30.262499,0.0,257.3775,36.9875,0.0,314.5725
27.79,82.0,245.205,299.695,25.56,24.31,27.8,82.0,82.0,82.0,0.089999996,0.0,203.355,0.11000001,0.0,248.545
28.23,82.0,271.88998,332.31003,25.39,24.22,26.71,82.0,82.0,82.0,0.0,0.0,114.02999,0.0,0.0,139.37
28.87,82.0,216.2025,264.2475,24.92,24.17,25.64,82.0,82.0,82.0,0.0,0.0,159.72751,0.0,0.0,195.2225
28.12,82.0,193.88249,236.96751,24.75,24.02,25.95,82.0,82.0,82.0,0.0,0.0,140.4675,0.0,0.0,171.6825
27.6,82.0,89.05499,108.845,24.56,23.91,26.22,82.0,82.0,82.0,0.0,0.0,93.284996,0.0,0.0,114.01501
26.24,82.0,30.262499,36.9875,24.48,23.89,26.05,82.0,82.0,82.0,0.0,0.0,28.08,0.0,0.0,34.32
