is_hora_punta,tarifa_soles_kwh,mall_cost_soles,mall_co2_indirect_kg
0,0.2916,168.25319,225.2608
0,0.2916,169.12799,226.43199
0,0.2916,162.1296,217.0624
0,0.2916,182.83319,244.78079
0,0.2916,225.6984,302.1696
0,0.2916,289.26718,387.2768
0,0.2916,330.67438,442.7136
0,0.2916,507.09238,678.9056
0,0.2916,627.23157,839.75037
0,0.2916,638.02075,854.1952
0,0.2916,645.894,864.73596
0,0.2916,659.016,882.30396
0,0.2916,674.47076,902.9952
0,0.2916,663.0984,887.7696
0,0.2916,659.016,882.30396
1,0.4616,1040.4464,1308.447
1,0.4616,1030.2913,1295.676
1,0.4616,1011.3656,1271.8755
1,0.4616,910.2752,1144.746
1,0.4616,509.1448,640.2915
0,0.2916,206.45279,276.4032
0,0.2916,181.3752,242.8288
0,0.2916,171.4608,229.55519
0,0.2916,173.21039,231.8976
0,0.2916,170.29439,227.99359
0,0.2916,163.5876,219.01439
0,0.2916,156.29759,209.2544
0,0.2916,176.418,236.192
0,0.2916,216.36719,289.6768
0,0.2916,280.5192,375.5648
0,0.2916,314.3448,420.8512
0,0.2916,477.93237,639.8656
0,0.2916,583.7832,781.5808
0,0.2916,607.98596,813.984
0,0.2916,613.52637,821.4016
0,0.2916,623.73236,835.0656
0,0.2916,644.14435,862.39355
0,0.2916,647.9352,867.4688
0,0.2916,640.06195,856.928
1,0.4616,1008.596,1268.3925
1,0.4616,995.6712,1252.1385
1,0.4616,989.6704,1244.592
1,0.4616,910.2752,1144.746
1,0.4616,542.38,682.0875
0,0.2916,207.32759,277.5744
0,0.2916,183.12479,245.17119
0,0.2916,170.29439,227.99359
0,0.2916,152.50679,204.1792
0,0.2916,150.75719,201.83679
0,0.2916,161.25479,215.89119
0,0.2916,151.3404,202.6176
0,0.2916,152.2152,203.7888
0,0.2916,207.036,277.184
0,0.2916,292.4748,391.5712
0,0.2916,339.714,454.81598
0,0.2916,533.33636,714.04156
0,0.2916,662.2236,886.5984
0,0.2916,681.17755,911.97437
0,0.2916,680.3028,910.80316
0,0.2916,686.13477,918.6112
0,0.2916,698.0904,934.61755
0,0.2916,705.3804,944.37756
0,0.2916,694.29956,929.54236
1,0.4616,1062.6033,1336.311
1,0.4616,1019.67444,1282.3245
1,0.4616,997.056,1253.88
1,0.4616,920.892,1158.0975
1,0.4616,554.3816,697.1805
0,0.2916,218.11679,292.0192
0,0.2916,184.2912,246.73279
0,0.2916,177.29279,237.36319
0,0.2916,176.418,236.192
0,0.2916,167.08679,223.69919
0,0.2916,166.21199,222.528
0,0.2916,160.0884,214.32959
0,0.2916,165.33719,221.3568
0,0.2916,180.5004,241.6576
0,0.2916,212.28479,284.21118
0,0.2916,291.59998,390.4
