Hour,non_shiftable_load
4011,409.0
4012,404.0
4013,380.0
4014,417.0
4015,457.0
4016,532.0
4017,980.704
4018,1709.88
4019,2174.468
4020,2198.232
4021,2142.88
4022,2255.112
4023,2242.8759999999997
4024,2244.348
4025,2204.464
4026,1771.7682262076414
4027,1741.7682262076414
4028,1704.5922262076415
4029,1422.1282262076415
4030,1087.0
4031,535.0
4032,439.0
4033,403.0
4034,386.0
4035,387.0
4036,376.0
4037,363.0
4038,510.0
4039,619.0
4040,738.0
4041,929.352
4042,1499.292
4043,1997.704
4044,2201.88
4045,2279.82
4046,2322.584
4047,2312.348
4048,2309.112
4049,2296.288
4050,1923.5322262076413
4051,1907.9442262076413
4052,1867.5322262076413
4053,1508.1282262076415
4054,1144.0
4055,635.0
4056,450.0
4057,427.0
4058,424.0
4059,418.0
4060,403.0
4061,387.0
4062,570.0
4063,715.0
4064,856.0
4065,1077.292
4066,1599.88
4067,2213.88
4068,2088.82
4069,2157.936
4070,2431.584
4071,2195.524
4072,2147.288
4073,2385.176172136011
4074,2026.0042262076413
4075,2024.5922262076415
4076,1928.3562262076414
4077,1659.768054071631
4078,1154.0
4079,551.0
4080,462.0
4081,421.0
4082,418.0
4083,414.0
4084,408.0
4085,376.0
4086,572.0
4087,749.0
4088,895.0
4089,1107.292
4090,1824.88
4091,2303.704
4092,2375.6440000000002
4093,2363.408
4094,2426.7
4095,2427.7
4096,2401.524
4097,2368.838400223161
4098,2009.5922262076415
4099,1974.7682262076414
4100,1928.3562262076414
4101,1597.6378259844805
4102,1115.0
4103,558.0
4104,368.0
4105,0.0
4106,0.0
4107,0.0
4108,0.0
4109,244.0
4110,560.0
4111,658.0
4112,762.0
4113,1052.232
4114,1513.232
4115,1971.056
4116,2280.232
4117,2427.288
4118,2347.584
4119,2339.348
4120,2162.288
4121,2080.464
4122,1701.9442262076413
4123,1701.3562262076414
4124,1664.3562262076414
4125,1362.1282262076415
4126,1000.9999999999999
4127,485.0
4128,409.0
4129,383.0
4130,382.0
4131,378.0
4132,358.0
4133,353.0
4134,531.0
4135,645.0
4136,767.0
4137,1029.292
4138,1639.056
4139,2067.056
4140,2116.408
4141,2064.82
4142,2074.348
4143,2150.7
4144,2171.936
4145,2186.5452113132483
4146,1784.8282262076414
4147,1777.8282262076414
4148,1723.0042262076413
4149,1506.459014894393
4150,1060.0
4151,513.0
4152,436.0
4153,391.0
4154,388.0
4155,389.0
4156,377.0
4157,348.0
4158,465.0
4159,578.0
4160,706.0
4161,939.056
4162,1447.704
4163,1966.644
4164,2018.644
4165,2097.996
4166,2144.7599999999998
4167,2164.112
4168,2181.288
4169,2329.524
4170,1903.8282262076414
4171,1834.4162262076413
4172,1777.0042262076413
4173,1560.1282262076415
4174,1169.9999999999998
4175,554.0
4176,467.0
4177,425.0
4178,417.0
4179,415.0
4180,406.0
4181,380.0
4182,404.0
4183,458.0
4184,703.0
4185,1105.88
4186,1695.94
4187,2223.468
4188,2240.996
4189,2247.82
4190,2325.172
4191,2304.936
4192,2321.7
4193,2349.7
4194,1955.1802262076412
4195,1929.9442262076413
4196,1844.5922262076415
4197,1539.1282262076415
4198,1107.0
4199,571.0
4200,495.0
4201,435.0
4202,435.0
4203,432.0
4204,417.0
4205,394.0
4206,575.0
4207,706.0
4208,821.0
4209,1011.764
4210,1635.94
4211,2266.704
4212,2334.996
4213,2361.7599999999998
4214,2436.172
4215,2429.348
4216,2429.7
4217,2356.288
4218,1917.6522262076414
4219,1858.0042262076413
4220,1784.0042262076413
4221,1528.1282262076415
4222,1039.0
4223,544.0
4224,462.0
4225,229.0
4226,423.0
4227,394.0
4228,379.0
4229,355.0
4230,521.0
4231,657.0
4232,792.0
4233,1115.408
4234,1570.292
4235,2010.292
4236,2112.996
4237,2137.584
4238,2171.172
4239,2184.172
4240,2242.8759999999997
4241,2256.0519999999997
4242,2069.180226207641
4243,2012.7682262076414
4244,1898.1802262076412
4245,1598.1282262076415
4246,1175.0
4247,560.0
4248,454.0
4249,421.0
4250,419.0
4251,415.0
4252,406.0
4253,390.0
4254,508.0
4255,688.0
4256,850.0
4257,1071.468
4258,1757.468
4259,2404.232
4260,2414.408
4261,2449.408
4262,2343.584
4263,2435.7599999999998
4264,2323.112
4265,2321.288
4266,1970.3562262076414
4267,1935.5922262076415
4268,1875.9442262076413
4269,1563.1282262076415
4270,1105.0
4271,547.0
4272,464.0
4273,430.0
4274,438.0
4275,441.0
4276,431.0
4277,409.0
4278,550.0
4279,683.0
4280,811.0
4281,1144.468
4282,1798.468
4283,2281.056
4284,2243.468
4285,2220.6440000000002
4286,2339.172
4287,2351.408
4288,2390.7599999999998
4289,2398.8759999999997
4290,1974.9442262076413
4291,1901.3562262076414
4292,1837.5322262076413
4293,1525.1282262076415
4294,1115.0
4295,596.0
4296,484.0
4297,446.0
4298,450.0
4299,442.0
4300,431.0
4301,418.0
4302,556.0
4303,701.0
4304,799.0
4305,1130.528
4306,1790.292
4307,2325.292
4308,2389.82
4309,2410.408
4310,2476.172
4311,2479.348
4312,2468.936
4313,2476.64
4314,2033.4162262076413
4315,1979.3562262076414
4316,1944.0042262076413
4317,1693.1282262076415
4318,1212.9999999999998
4319,588.0
4320,488.0
4321,436.0
4322,420.0
