Month,Hour,Day Type,solar_generation
6,15,2,0.665415931220987
6,16,2,0.6441699489176457
6,17,2,0.6057619690029712
6,18,2,0.6187065362627074
6,19,2,0.467657562122361
6,20,2,0.29832441662138703
6,21,2,0.11917319647889787
6,22,2,0.01254139354838938
6,23,2,0.0
6,0,3,0.0
6,1,3,0.0
6,2,3,0.0
6,3,3,0.0
6,4,3,0.0
6,5,3,0.0
6,6,3,0.0
6,7,3,0.0
6,8,3,0.0
6,9,3,0.0
6,10,3,0.0
6,11,3,0.023703632036515605
6,12,3,0.10192016418801503
6,13,3,0.2002240642477473
6,14,3,0.2973234589587056
6,15,3,0.21298236208405968
6,16,3,0.12369076203698837
6,17,3,0.12455316502552502
6,18,3,0.104632916839197
6,19,3,0.12645480198027154
6,20,3,0.13637321656691234
6,21,3,0.07252098793304584
6,22,3,0.0069716431249333115
6,23,3,0.0
6,0,4,0.0
6,1,4,0.0
6,2,4,0.0
6,3,4,0.0
6,4,4,0.0
6,5,4,0.0
6,6,4,0.0
6,7,4,0.0
6,8,4,0.0
6,9,4,0.0
6,10,4,0.0
6,11,4,0.06344522247961583
6,12,4,0.2981508358654938
6,13,4,0.5100858204473354
6,14,4,0.6192840809690999
6,15,4,0.6615204988769775
6,16,4,0.665415931220987
6,17,4,0.6437833000656675
6,18,4,0.5523821880255951
6,19,4,0.4777293898870006
6,20,4,0.33386201251129904
6,21,4,0.11268605561847551
6,22,4,0.006437416667168302
6,23,4,0.0
6,0,5,0.0
6,1,5,0.0
6,2,5,0.0
6,3,5,0.0
6,4,5,0.0
6,5,5,0.0
6,6,5,0.0
6,7,5,0.0
6,8,5,0.0
6,9,5,0.0
6,10,5,0.0
6,11,5,0.04159858308503204
6,12,5,0.199759584281177
6,13,5,0.3691097104877685
6,14,5,0.4698997217908394
6,15,5,0.5142897733014212
6,16,5,0.6133035376012824
6,17,5,0.6281412955254112
6,18,5,0.4836009884524955
6,19,5,0.34026365543285503
6,20,5,0.2621450221513458
6,21,5,0.11601564228291313
6,22,5,0.010164825199951053
6,23,5,0.0
6,0,6,0.0
6,1,6,0.0
6,2,6,0.0
6,3,6,0.0
6,4,6,0.0
6,5,6,0.0
6,6,6,0.0
6,7,6,0.0
6,8,6,0.0
6,9,6,0.0
6,10,6,0.0
6,11,6,0.05043849599373227
6,12,6,0.22454813817335625
6,13,6,0.3542514754816051
6,14,6,0.4965974128780993
6,15,6,0.5559959604108462
6,16,6,0.5572459812647768
6,17,6,0.5990964319575341
6,18,6,0.5412041002438939
6,19,6,0.41209688930334554
6,20,6,0.27524099971595517
6,21,6,0.11113661300820886
