hour,pv_kwh,ev_kwh,mall_kwh,pv_used_ev_kwh,pv_used_mall_kwh,bess_charge_kwh,bess_discharge_kwh,grid_import_ev_kwh,grid_import_mall_kwh,grid_export_kwh,soc_percent,soc_kwh,load_kwh,net_balance_kwh,grid_import_kwh,mall_grid_import_kwh,ev_grid_import_kwh
1,0.0,11.882117733723067,788.0232558139535,0.0,0.0,0.0,0.0,11.882117733723067,788.0232558139535,0.0,83.06771960607936,1355.6651839712154,799.9053735476765,-799.9053735476765,799.9053735476765,788.0232558139535,11.882117733723067
2,0.0,11.882117733723067,788.0232558139535,0.0,0.0,0.0,0.0,11.882117733723067,788.0232558139535,0.0,83.06771960607936,1355.6651839712154,799.9053735476765,-799.9053735476765,799.9053735476765,788.0232558139535,11.882117733723067
3,0.0,11.882117733723067,788.0232558139535,0.0,0.0,0.0,0.0,11.882117733723067,788.0232558139535,0.0,83.06771960607936,1355.6651839712154,799.9053735476765,-799.9053735476765,799.9053735476765,788.0232558139535,11.882117733723067
4,0.0,11.882117733723067,788.0232558139535,0.0,0.0,0.0,0.0,11.882117733723067,788.0232558139535,0.0,83.06771960607936,1355.6651839712154,799.9053735476765,-799.9053735476765,799.9053735476765,788.0232558139535,11.882117733723067
5,382.83415955061497,11.882117733723067,1050.6976744186047,11.882117733723067,94.61722578810725,276.33481602878464,0.0,0.0,956.0804486304975,0.0,99.5712650848979,1625.0030461855338,1062.5797921523279,-679.7456326017129,956.0804486304975,956.0804486304975,0.0
6,650.807654218494,11.882117733723067,1313.3720930232557,11.882117733723067,631.9285826703046,6.996953814466313,0.0,0.0,681.4435103529511,0.0,99.98914418949182,1631.8228331725068,1325.2542107569789,-674.4465565384849,681.4435103529511,681.4435103529511,0.0
7,1019.6286061519336,11.882117733723067,1576.046511627907,11.882117733723067,1007.5693215907172,0.17716682749333756,0.0,0.0,568.4771900371898,0.0,99.99972512473877,1631.9955140357367,1587.92862936163,-568.3000232096965,568.4771900371898,568.4771900371898,0.0
8,1472.2404971113524,11.882117733723067,1838.7209302325584,11.882117733723067,1460.353893413366,0.004485964263277964,0.0,0.0,378.36703681919244,0.0,99.99999304000295,1631.9998864128481,1850.6030479662816,-378.36255085492917,378.36703681919244,378.36703681919244,0.0
9,1959.1283870820264,12.65244308340683,1838.7209302325584,12.65244308340683,1838.7209302325584,0.00011358715196152502,0.0,0.0,0.0,107.75490017890934,99.99999982376893,1631.999997123909,1851.3733733159652,107.75501376606121,0.0,0.0,0.0
10,2402.6716519183624,17.804215543788352,1838.7209302325584,17.804215543788352,1838.7209302325584,2.876090949399668e-06,0.0,0.0,0.0,546.1465032659246,99.99999999553772,1631.9999999271756,1856.5251457763468,546.1465061420156,0.0,0.0,0.0
11,2715.647150462504,27.60520112395573,1576.046511627907,27.60520112395573,1576.046511627907,7.282432790134408e-08,0.0,0.0,0.0,1111.9954376378173,99.99999999988701,1631.999999998156,1603.6517127518628,1111.9954377106415,0.0,0.0,0.0
12,2828.783081506461,39.7983759956669,1576.046511627907,39.7983759956669,1576.046511627907,1.8439543225667876e-09,0.0,0.0,0.0,1212.938193881043,99.99999999999713,1631.9999999999532,1615.8448876235739,1212.938193882887,0.0,0.0,0.0
13,2715.647150462504,55.97349239617671,1576.046511627907,55.97349239617671,1576.046511627907,4.674660658565699e-11,0.0,0.0,0.0,1083.6271464383735,99.99999999999993,1631.9999999999986,1632.0200040240836,1083.6271464384206,0.0,0.0,0.0
14,2402.6716519183624,67.0072323054566,1576.046511627907,67.0072323054566,1576.046511627907,1.2683187833317788e-12,0.0,0.0,0.0,759.6179079849976,100.0,1632.0,1643.0537439333636,759.6179079849987,0.0,0.0,0.0
15,1959.1283870820264,68.0,1576.046511627907,68.0,1576.046511627907,0.0,0.0,0.0,0.0,315.0818754541194,100.0,1632.0,1644.046511627907,315.0818754541194,0.0,0.0,0.0
